,RMNH.INS.1271298_An_messeae - tRNA-Trp gene,RMNH.INS.1271299_An_messeae - tRNA-Trp gene,RMNH.INS.1271300_An_messeae - tRNA-Trp gene,RMNH.INS.1271301_Cq_richiardii - tRNA-Trp gene,RMNH.INS.1271302_Cq_richiardii - tRNA-Trp gene,RMNH.INS.1271303_Cq_richiardii - tRNA-Trp gene,RMNH.INS.1271304_Ae_vexans - tRNA-Trp gene,RMNH.INS.1271305_Ae_vexans - tRNA-Trp gene,RMNH.INS.1271306_Ae_vexans - tRNA-Trp gene,RMNH.INS.1271307_Cs_annulata - tRNA-Trp gene,RMNH.INS.1271308_Cs_annulata - tRNA-Trp gene,RMNH.INS.1271309_Cs_annulata - tRNA-Trp gene,RMNH.INS.1271310_An_claviger - tRNA-Trp gene,RMNH.INS.1271311_An_claviger - tRNA-Trp gene,RMNH.INS.1271312_An_claviger - tRNA-Trp gene,RMNH.INS.1271313_Cx_modestus - tRNA-Trp gene,RMNH.INS.1271314_Cx_modestus - tRNA-Trp gene,RMNH.INS.1271315_Cx_modestus - tRNA-Trp gene,RMNH.INS.1271316_Cx_territans - tRNA-Trp gene,RMNH.INS.1271317_Cx_territans - tRNA-Trp gene,RMNH.INS.1271318_Cx_territans - tRNA-Trp gene,RMNH.INS.1271319_Ae_cinereus - tRNA-Trp gene,RMNH.INS.1271320_Ae_cinereus - tRNA-Trp gene,RMNH.INS.1271321_Ae_cinereus - tRNA-Trp gene,RMNH.INS.1271322_Cs_longiareolata - tRNA-Trp gene,RMNH.INS.1271323_Cs_longiareolata - tRNA-Trp gene,RMNH.INS.1271324_Cs_longiareolata - tRNA-Trp gene,RMNH.INS.1271325_Ae_annulipes_cantans - tRNA-Trp gene,RMNH.INS.1271326_Ae_annulipes_cantans - tRNA-Trp gene,RMNH.INS.1271327_Ae_annulipes_cantans - tRNA-Trp gene,RMNH.INS.1271328_Ae_annulipes_cantans - tRNA-Trp gene,RMNH.INS.1271329_Ae_annulipes_cantans - tRNA-Trp gene,RMNH.INS.1271330_Ae_annulipes_cantans - tRNA-Trp gene,RMNH.INS.1271331_Ae_rusticus - tRNA-Trp gene,RMNH.INS.1271332_Ae_rusticus - tRNA-Trp gene,RMNH.INS.1271333_Ae_rusticus - tRNA-Trp gene,RMNH.INS.1271334_Ae_communis - tRNA-Trp gene,RMNH.INS.1271335_Ae_communis - tRNA-Trp gene,RMNH.INS.1271336_Ae_communis - tRNA-Trp gene,RMNH.INS.1271337_Ae_punctor - tRNA-Trp gene,RMNH.INS.1271338_Ae_rusticus - tRNA-Trp gene,RMNH.INS.1271339_Ae_punctor - tRNA-Trp gene,RMNH.INS.1271340_Ae_geniculatus - tRNA-Trp gene,RMNH.INS.1271341_Ae_geniculatus - tRNA-Trp gene,RMNH.INS.1271342_Ae_geniculatus - tRNA-Trp gene,RMNH.INS.1271344_Cs_subochrea - tRNA-Trp gene,RMNH.INS.1271345_Cs_annulata - tRNA-Trp gene,RMNH.INS.1271346_Ae_caspius - tRNA-Trp gene,RMNH.INS.1271347_Ae_caspius - tRNA-Trp gene,RMNH.INS.1271348_Ae_caspius - tRNA-Trp gene,RMNH.INS.1271349_An_plumbeus_partial_genome - tRNA-Trp gene,RMNH.INS.1271350_An_plumbeus_partial_genome - tRNA-Trp gene,RMNH.INS.1271351_An_plumbeus_partial_genome - tRNA-Trp gene,RMNH.INS.1271352_Cs_annulata - tRNA-Trp gene,RMNH.INS.1271354_Cs_annulata - tRNA-Trp gene,RMNH.INS.1271355_Cx_pipiens - tRNA-Trp gene,RMNH.INS.1271356_Cx_pipiens - tRNA-Trp gene,RMNH.INS.1271357_Cx_pipiens - tRNA-Trp gene,RMNH.INS.1271358_Cs_morsitans - tRNA-Trp gene,RMNH.INS.1271359_Cs_morsitans - tRNA-Trp gene,RMNH.INS.1271360_Cs_morsitans - tRNA-Trp gene,RMNH.INS.1271361_Ae_sticticus - tRNA-Trp gene,RMNH.INS.1271362_Ae_sticticus - tRNA-Trp gene,RMNH.INS.1271363_Ae_sticticus - tRNA-Trp gene,RMNH.INS.1271367_Ae_detritus - tRNA-Trp gene,RMNH.INS.1271368_Ae_detritus - tRNA-Trp gene,RMNH.INS.1271369_Ae_caspius - tRNA-Trp gene,RMNH.INS.1271370_Ae_flavescens - tRNA-Trp gene,RMNH.INS.1271371_Ae_flavescens - tRNA-Trp gene,RMNH.INS.1271372_Ae_flavescens - tRNA-Trp gene,RMNH.INS.1271375_Ae_leucomelas - tRNA-Trp gene,RMNH.INS.1271376_Ae_albopictus - tRNA-Trp gene,RMNH.INS.1271377_Ae_albopictus - tRNA-Trp gene,RMNH.INS.1271378_Ae_albopictus - tRNA-Trp gene,RMNH.INS.1271379_Ae_japonicus - tRNA-Trp gene,RMNH.INS.1271380_Ae_japonicus - tRNA-Trp gene,RMNH.INS.1271381_Ae_japonicus - tRNA-Trp gene,RMNH.INS.1271382_Ae_aegypti - tRNA-Trp gene,RMNH.INS.1271383_Ae_aegypti - tRNA-Trp gene,RMNH.INS.1271384_Ae_aegypti - tRNA-Trp gene,RMNH.INS.1271386_Ae_cinereus - tRNA-Trp gene,RMNH.INS.1271389_Cs_ochroptera - tRNA-Trp gene
RMNH.INS.1271354_Cs_annulata - tRNA-Trp gene,98.551,98.551,98.551,95.652,95.652,95.652,97.101,97.101,97.101,100,100,100,98.551,98.551,98.551,95.652,97.101,97.101,95.652,95.652,95.652,97.101,97.101,97.101,92.754,92.754,92.754,95.652,95.652,95.652,95.652,95.652,95.652,97.101,97.101,97.101,94.203,94.203,94.203,94.203,97.101,94.203,95.652,95.652,95.652,97.101,100,95.652,95.652,95.652,97.101,97.101,97.101,100,,95.652,95.652,95.652,92.754,92.754,92.754,94.203,94.203,94.203,94.203,94.203,95.652,95.652,95.652,95.652,95.652,98.551,98.551,98.551,95.652,95.652,95.652,98.551,98.551,98.551,95.652,91.304
RMNH.INS.1271355_Cx_pipiens - tRNA-Trp gene,94.203,94.203,94.203,94.203,94.203,94.203,92.754,92.754,92.754,95.652,95.652,95.652,94.203,94.203,94.203,97.101,98.551,98.551,94.203,94.203,94.203,92.754,92.754,92.754,91.304,91.304,91.304,91.304,91.304,91.304,91.304,91.304,91.304,92.754,92.754,92.754,89.855,89.855,89.855,89.855,92.754,89.855,91.304,91.304,91.304,95.652,95.652,91.304,91.304,91.304,92.754,92.754,92.754,95.652,95.652,,100,100,94.203,94.203,94.203,89.855,89.855,89.855,92.754,92.754,91.304,91.304,91.304,91.304,91.304,94.203,94.203,94.203,94.203,94.203,94.203,94.203,94.203,94.203,92.754,95.652
RMNH.INS.1271356_Cx_pipiens - tRNA-Trp gene,94.203,94.203,94.203,94.203,94.203,94.203,92.754,92.754,92.754,95.652,95.652,95.652,94.203,94.203,94.203,97.101,98.551,98.551,94.203,94.203,94.203,92.754,92.754,92.754,91.304,91.304,91.304,91.304,91.304,91.304,91.304,91.304,91.304,92.754,92.754,92.754,89.855,89.855,89.855,89.855,92.754,89.855,91.304,91.304,91.304,95.652,95.652,91.304,91.304,91.304,92.754,92.754,92.754,95.652,95.652,100,,100,94.203,94.203,94.203,89.855,89.855,89.855,92.754,92.754,91.304,91.304,91.304,91.304,91.304,94.203,94.203,94.203,94.203,94.203,94.203,94.203,94.203,94.203,92.754,95.652
RMNH.INS.1271357_Cx_pipiens - tRNA-Trp gene,94.203,94.203,94.203,94.203,94.203,94.203,92.754,92.754,92.754,95.652,95.652,95.652,94.203,94.203,94.203,97.101,98.551,98.551,94.203,94.203,94.203,92.754,92.754,92.754,91.304,91.304,91.304,91.304,91.304,91.304,91.304,91.304,91.304,92.754,92.754,92.754,89.855,89.855,89.855,89.855,92.754,89.855,91.304,91.304,91.304,95.652,95.652,91.304,91.304,91.304,92.754,92.754,92.754,95.652,95.652,100,100,,94.203,94.203,94.203,89.855,89.855,89.855,92.754,92.754,91.304,91.304,91.304,91.304,91.304,94.203,94.203,94.203,94.203,94.203,94.203,94.203,94.203,94.203,92.754,95.652
RMNH.INS.1271358_Cs_morsitans - tRNA-Trp gene,94.203,94.203,94.203,94.203,94.203,94.203,92.754,92.754,92.754,92.754,92.754,92.754,94.203,94.203,94.203,97.101,95.652,95.652,94.203,94.203,94.203,92.754,92.754,92.754,97.101,97.101,97.101,91.304,91.304,91.304,91.304,91.304,91.304,89.855,89.855,89.855,95.652,95.652,95.652,95.652,89.855,95.652,97.101,97.101,97.101,92.754,92.754,94.203,94.203,94.203,95.652,95.652,95.652,92.754,92.754,94.203,94.203,94.203,,100,100,89.855,89.855,89.855,89.855,89.855,94.203,91.304,91.304,91.304,91.304,94.203,94.203,94.203,94.203,94.203,94.203,94.203,94.203,94.203,92.754,98.551
RMNH.INS.1271359_Cs_morsitans - tRNA-Trp gene,94.203,94.203,94.203,94.203,94.203,94.203,92.754,92.754,92.754,92.754,92.754,92.754,94.203,94.203,94.203,97.101,95.652,95.652,94.203,94.203,94.203,92.754,92.754,92.754,97.101,97.101,97.101,91.304,91.304,91.304,91.304,91.304,91.304,89.855,89.855,89.855,95.652,95.652,95.652,95.652,89.855,95.652,97.101,97.101,97.101,92.754,92.754,94.203,94.203,94.203,95.652,95.652,95.652,92.754,92.754,94.203,94.203,94.203,100,,100,89.855,89.855,89.855,89.855,89.855,94.203,91.304,91.304,91.304,91.304,94.203,94.203,94.203,94.203,94.203,94.203,94.203,94.203,94.203,92.754,98.551
RMNH.INS.1271360_Cs_morsitans - tRNA-Trp gene,94.203,94.203,94.203,94.203,94.203,94.203,92.754,92.754,92.754,92.754,92.754,92.754,94.203,94.203,94.203,97.101,95.652,95.652,94.203,94.203,94.203,92.754,92.754,92.754,97.101,97.101,97.101,91.304,91.304,91.304,91.304,91.304,91.304,89.855,89.855,89.855,95.652,95.652,95.652,95.652,89.855,95.652,97.101,97.101,97.101,92.754,92.754,94.203,94.203,94.203,95.652,95.652,95.652,92.754,92.754,94.203,94.203,94.203,100,100,,89.855,89.855,89.855,89.855,89.855,94.203,91.304,91.304,91.304,91.304,94.203,94.203,94.203,94.203,94.203,94.203,94.203,94.203,94.203,92.754,98.551
RMNH.INS.1271361_Ae_sticticus - tRNA-Trp gene,92.754,92.754,92.754,89.855,89.855,89.855,94.203,94.203,94.203,94.203,94.203,94.203,92.754,92.754,92.754,89.855,91.304,91.304,92.754,92.754,92.754,94.203,94.203,94.203,92.754,92.754,92.754,98.551,98.551,98.551,98.551,98.551,98.551,94.203,94.203,94.203,94.203,94.203,94.203,94.203,94.203,94.203,92.754,92.754,92.754,91.304,94.203,95.652,95.652,95.652,91.304,91.304,91.304,94.203,94.203,89.855,89.855,89.855,89.855,89.855,89.855,,100,100,97.101,97.101,95.652,98.551,98.551,98.551,98.551,92.754,92.754,92.754,92.754,92.754,92.754,92.754,92.754,92.754,92.754,88.406
RMNH.INS.1271362_Ae_sticticus - tRNA-Trp gene,92.754,92.754,92.754,89.855,89.855,89.855,94.203,94.203,94.203,94.203,94.203,94.203,92.754,92.754,92.754,89.855,91.304,91.304,92.754,92.754,92.754,94.203,94.203,94.203,92.754,92.754,92.754,98.551,98.551,98.551,98.551,98.551,98.551,94.203,94.203,94.203,94.203,94.203,94.203,94.203,94.203,94.203,92.754,92.754,92.754,91.304,94.203,95.652,95.652,95.652,91.304,91.304,91.304,94.203,94.203,89.855,89.855,89.855,89.855,89.855,89.855,100,,100,97.101,97.101,95.652,98.551,98.551,98.551,98.551,92.754,92.754,92.754,92.754,92.754,92.754,92.754,92.754,92.754,92.754,88.406
RMNH.INS.1271363_Ae_sticticus - tRNA-Trp gene,92.754,92.754,92.754,89.855,89.855,89.855,94.203,94.203,94.203,94.203,94.203,94.203,92.754,92.754,92.754,89.855,91.304,91.304,92.754,92.754,92.754,94.203,94.203,94.203,92.754,92.754,92.754,98.551,98.551,98.551,98.551,98.551,98.551,94.203,94.203,94.203,94.203,94.203,94.203,94.203,94.203,94.203,92.754,92.754,92.754,91.304,94.203,95.652,95.652,95.652,91.304,91.304,91.304,94.203,94.203,89.855,89.855,89.855,89.855,89.855,89.855,100,100,,97.101,97.101,95.652,98.551,98.551,98.551,98.551,92.754,92.754,92.754,92.754,92.754,92.754,92.754,92.754,92.754,92.754,88.406
RMNH.INS.1271367_Ae_detritus - tRNA-Trp gene,92.754,92.754,92.754,89.855,89.855,89.855,94.203,94.203,94.203,94.203,94.203,94.203,92.754,92.754,92.754,89.855,91.304,91.304,92.754,92.754,92.754,94.203,94.203,94.203,92.754,92.754,92.754,95.652,95.652,95.652,95.652,95.652,95.652,94.203,94.203,94.203,94.203,94.203,94.203,94.203,94.203,94.203,92.754,92.754,92.754,94.203,94.203,95.652,95.652,95.652,91.304,91.304,91.304,94.203,94.203,92.754,92.754,92.754,89.855,89.855,89.855,97.101,97.101,97.101,,100,95.652,95.652,95.652,95.652,95.652,92.754,92.754,92.754,95.652,95.652,95.652,92.754,92.754,92.754,92.754,91.304
RMNH.INS.1271368_Ae_detritus - tRNA-Trp gene,92.754,92.754,92.754,89.855,89.855,89.855,94.203,94.203,94.203,94.203,94.203,94.203,92.754,92.754,92.754,89.855,91.304,91.304,92.754,92.754,92.754,94.203,94.203,94.203,92.754,92.754,92.754,95.652,95.652,95.652,95.652,95.652,95.652,94.203,94.203,94.203,94.203,94.203,94.203,94.203,94.203,94.203,92.754,92.754,92.754,94.203,94.203,95.652,95.652,95.652,91.304,91.304,91.304,94.203,94.203,92.754,92.754,92.754,89.855,89.855,89.855,97.101,97.101,97.101,100,,95.652,95.652,95.652,95.652,95.652,92.754,92.754,92.754,95.652,95.652,95.652,92.754,92.754,92.754,92.754,91.304
RMNH.INS.1271369_Ae_caspius - tRNA-Trp gene,97.101,97.101,97.101,94.203,94.203,94.203,98.551,98.551,98.551,95.652,95.652,95.652,97.101,97.101,97.101,94.203,92.754,92.754,97.101,97.101,97.101,98.551,98.551,98.551,94.203,94.203,94.203,97.101,97.101,97.101,97.101,97.101,97.101,95.652,95.652,95.652,98.551,98.551,98.551,98.551,95.652,98.551,97.101,97.101,97.101,92.754,95.652,100,100,100,95.652,95.652,95.652,95.652,95.652,91.304,91.304,91.304,94.203,94.203,94.203,95.652,95.652,95.652,95.652,95.652,,97.101,97.101,97.101,97.101,97.101,97.101,97.101,97.101,97.101,97.101,97.101,97.101,97.101,97.101,92.754
RMNH.INS.1271370_Ae_flavescens - tRNA-Trp gene,94.203,94.203,94.203,91.304,91.304,91.304,95.652,95.652,95.652,95.652,95.652,95.652,94.203,94.203,94.203,91.304,92.754,92.754,94.203,94.203,94.203,95.652,95.652,95.652,91.304,91.304,91.304,100,100,100,100,100,100,95.652,95.652,95.652,95.652,95.652,95.652,95.652,95.652,95.652,94.203,94.203,94.203,92.754,95.652,97.101,97.101,97.101,92.754,92.754,92.754,95.652,95.652,91.304,91.304,91.304,91.304,91.304,91.304,98.551,98.551,98.551,95.652,95.652,97.101,,100,100,100,94.203,94.203,94.203,94.203,94.203,94.203,94.203,94.203,94.203,94.203,89.855
RMNH.INS.1271371_Ae_flavescens - tRNA-Trp gene,94.203,94.203,94.203,91.304,91.304,91.304,95.652,95.652,95.652,95.652,95.652,95.652,94.203,94.203,94.203,91.304,92.754,92.754,94.203,94.203,94.203,95.652,95.652,95.652,91.304,91.304,91.304,100,100,100,100,100,100,95.652,95.652,95.652,95.652,95.652,95.652,95.652,95.652,95.652,94.203,94.203,94.203,92.754,95.652,97.101,97.101,97.101,92.754,92.754,92.754,95.652,95.652,91.304,91.304,91.304,91.304,91.304,91.304,98.551,98.551,98.551,95.652,95.652,97.101,100,,100,100,94.203,94.203,94.203,94.203,94.203,94.203,94.203,94.203,94.203,94.203,89.855
RMNH.INS.1271372_Ae_flavescens - tRNA-Trp gene,94.203,94.203,94.203,91.304,91.304,91.304,95.652,95.652,95.652,95.652,95.652,95.652,94.203,94.203,94.203,91.304,92.754,92.754,94.203,94.203,94.203,95.652,95.652,95.652,91.304,91.304,91.304,100,100,100,100,100,100,95.652,95.652,95.652,95.652,95.652,95.652,95.652,95.652,95.652,94.203,94.203,94.203,92.754,95.652,97.101,97.101,97.101,92.754,92.754,92.754,95.652,95.652,91.304,91.304,91.304,91.304,91.304,91.304,98.551,98.551,98.551,95.652,95.652,97.101,100,100,,100,94.203,94.203,94.203,94.203,94.203,94.203,94.203,94.203,94.203,94.203,89.855
RMNH.INS.1271375_Ae_leucomelas - tRNA-Trp gene,94.203,94.203,94.203,91.304,91.304,91.304,95.652,95.652,95.652,95.652,95.652,95.652,94.203,94.203,94.203,91.304,92.754,92.754,94.203,94.203,94.203,95.652,95.652,95.652,91.304,91.304,91.304,100,100,100,100,100,100,95.652,95.652,95.652,95.652,95.652,95.652,95.652,95.652,95.652,94.203,94.203,94.203,92.754,95.652,97.101,97.101,97.101,92.754,92.754,92.754,95.652,95.652,91.304,91.304,91.304,91.304,91.304,91.304,98.551,98.551,98.551,95.652,95.652,97.101,100,100,100,,94.203,94.203,94.203,94.203,94.203,94.203,94.203,94.203,94.203,94.203,89.855
RMNH.INS.1271376_Ae_albopictus - tRNA-Trp gene,100,100,100,97.101,97.101,97.101,98.551,98.551,98.551,98.551,98.551,98.551,100,100,100,97.101,95.652,95.652,97.101,97.101,97.101,98.551,98.551,98.551,94.203,94.203,94.203,94.203,94.203,94.203,94.203,94.203,94.203,95.652,95.652,95.652,95.652,95.652,95.652,95.652,95.652,95.652,97.101,97.101,97.101,95.652,98.551,97.101,97.101,97.101,98.551,98.551,98.551,98.551,98.551,94.203,94.203,94.203,94.203,94.203,94.203,92.754,92.754,92.754,92.754,92.754,97.101,94.203,94.203,94.203,94.203,,100,100,97.101,97.101,97.101,100,100,100,97.101,92.754
RMNH.INS.1271377_Ae_albopictus - tRNA-Trp gene,100,100,100,97.101,97.101,97.101,98.551,98.551,98.551,98.551,98.551,98.551,100,100,100,97.101,95.652,95.652,97.101,97.101,97.101,98.551,98.551,98.551,94.203,94.203,94.203,94.203,94.203,94.203,94.203,94.203,94.203,95.652,95.652,95.652,95.652,95.652,95.652,95.652,95.652,95.652,97.101,97.101,97.101,95.652,98.551,97.101,97.101,97.101,98.551,98.551,98.551,98.551,98.551,94.203,94.203,94.203,94.203,94.203,94.203,92.754,92.754,92.754,92.754,92.754,97.101,94.203,94.203,94.203,94.203,100,,100,97.101,97.101,97.101,100,100,100,97.101,92.754
RMNH.INS.1271378_Ae_albopictus - tRNA-Trp gene,100,100,100,97.101,97.101,97.101,98.551,98.551,98.551,98.551,98.551,98.551,100,100,100,97.101,95.652,95.652,97.101,97.101,97.101,98.551,98.551,98.551,94.203,94.203,94.203,94.203,94.203,94.203,94.203,94.203,94.203,95.652,95.652,95.652,95.652,95.652,95.652,95.652,95.652,95.652,97.101,97.101,97.101,95.652,98.551,97.101,97.101,97.101,98.551,98.551,98.551,98.551,98.551,94.203,94.203,94.203,94.203,94.203,94.203,92.754,92.754,92.754,92.754,92.754,97.101,94.203,94.203,94.203,94.203,100,100,,97.101,97.101,97.101,100,100,100,97.101,92.754
RMNH.INS.1271379_Ae_japonicus - tRNA-Trp gene,97.101,97.101,97.101,94.203,94.203,94.203,95.652,95.652,95.652,95.652,95.652,95.652,97.101,97.101,97.101,94.203,92.754,92.754,94.203,94.203,94.203,95.652,95.652,95.652,94.203,94.203,94.203,94.203,94.203,94.203,94.203,94.203,94.203,92.754,92.754,92.754,95.652,95.652,95.652,95.652,92.754,95.652,97.101,97.101,97.101,95.652,95.652,97.101,97.101,97.101,95.652,95.652,95.652,95.652,95.652,94.203,94.203,94.203,94.203,94.203,94.203,92.754,92.754,92.754,95.652,95.652,97.101,94.203,94.203,94.203,94.203,97.101,97.101,97.101,,100,100,97.101,97.101,97.101,94.203,95.652
RMNH.INS.1271380_Ae_japonicus - tRNA-Trp gene,97.101,97.101,97.101,94.203,94.203,94.203,95.652,95.652,95.652,95.652,95.652,95.652,97.101,97.101,97.101,94.203,92.754,92.754,94.203,94.203,94.203,95.652,95.652,95.652,94.203,94.203,94.203,94.203,94.203,94.203,94.203,94.203,94.203,92.754,92.754,92.754,95.652,95.652,95.652,95.652,92.754,95.652,97.101,97.101,97.101,95.652,95.652,97.101,97.101,97.101,95.652,95.652,95.652,95.652,95.652,94.203,94.203,94.203,94.203,94.203,94.203,92.754,92.754,92.754,95.652,95.652,97.101,94.203,94.203,94.203,94.203,97.101,97.101,97.101,100,,100,97.101,97.101,97.101,94.203,95.652
RMNH.INS.1271381_Ae_japonicus - tRNA-Trp gene,97.101,97.101,97.101,94.203,94.203,94.203,95.652,95.652,95.652,95.652,95.652,95.652,97.101,97.101,97.101,94.203,92.754,92.754,94.203,94.203,94.203,95.652,95.652,95.652,94.203,94.203,94.203,94.203,94.203,94.203,94.203,94.203,94.203,92.754,92.754,92.754,95.652,95.652,95.652,95.652,92.754,95.652,97.101,97.101,97.101,95.652,95.652,97.101,97.101,97.101,95.652,95.652,95.652,95.652,95.652,94.203,94.203,94.203,94.203,94.203,94.203,92.754,92.754,92.754,95.652,95.652,97.101,94.203,94.203,94.203,94.203,97.101,97.101,97.101,100,100,,97.101,97.101,97.101,94.203,95.652
RMNH.INS.1271382_Ae_aegypti - tRNA-Trp gene,100,100,100,97.101,97.101,97.101,98.551,98.551,98.551,98.551,98.551,98.551,100,100,100,97.101,95.652,95.652,97.101,97.101,97.101,98.551,98.551,98.551,94.203,94.203,94.203,94.203,94.203,94.203,94.203,94.203,94.203,95.652,95.652,95.652,95.652,95.652,95.652,95.652,95.652,95.652,97.101,97.101,97.101,95.652,98.551,97.101,97.101,97.101,98.551,98.551,98.551,98.551,98.551,94.203,94.203,94.203,94.203,94.203,94.203,92.754,92.754,92.754,92.754,92.754,97.101,94.203,94.203,94.203,94.203,100,100,100,97.101,97.101,97.101,,100,100,97.101,92.754
RMNH.INS.1271383_Ae_aegypti - tRNA-Trp gene,100,100,100,97.101,97.101,97.101,98.551,98.551,98.551,98.551,98.551,98.551,100,100,100,97.101,95.652,95.652,97.101,97.101,97.101,98.551,98.551,98.551,94.203,94.203,94.203,94.203,94.203,94.203,94.203,94.203,94.203,95.652,95.652,95.652,95.652,95.652,95.652,95.652,95.652,95.652,97.101,97.101,97.101,95.652,98.551,97.101,97.101,97.101,98.551,98.551,98.551,98.551,98.551,94.203,94.203,94.203,94.203,94.203,94.203,92.754,92.754,92.754,92.754,92.754,97.101,94.203,94.203,94.203,94.203,100,100,100,97.101,97.101,97.101,100,,100,97.101,92.754
RMNH.INS.1271384_Ae_aegypti - tRNA-Trp gene,100,100,100,97.101,97.101,97.101,98.551,98.551,98.551,98.551,98.551,98.551,100,100,100,97.101,95.652,95.652,97.101,97.101,97.101,98.551,98.551,98.551,94.203,94.203,94.203,94.203,94.203,94.203,94.203,94.203,94.203,95.652,95.652,95.652,95.652,95.652,95.652,95.652,95.652,95.652,97.101,97.101,97.101,95.652,98.551,97.101,97.101,97.101,98.551,98.551,98.551,98.551,98.551,94.203,94.203,94.203,94.203,94.203,94.203,92.754,92.754,92.754,92.754,92.754,97.101,94.203,94.203,94.203,94.203,100,100,100,97.101,97.101,97.101,100,100,,97.101,92.754
RMNH.INS.1271386_Ae_cinereus - tRNA-Trp gene,97.101,97.101,97.101,95.652,95.652,95.652,98.551,98.551,98.551,95.652,95.652,95.652,97.101,97.101,97.101,95.652,94.203,94.203,98.551,98.551,98.551,98.551,98.551,98.551,92.754,92.754,92.754,94.203,94.203,94.203,94.203,94.203,94.203,95.652,95.652,95.652,95.652,95.652,95.652,95.652,95.652,95.652,94.203,94.203,94.203,92.754,95.652,97.101,97.101,97.101,95.652,95.652,95.652,95.652,95.652,92.754,92.754,92.754,92.754,92.754,92.754,92.754,92.754,92.754,92.754,92.754,97.101,94.203,94.203,94.203,94.203,97.101,97.101,97.101,94.203,94.203,94.203,97.101,97.101,97.101,,91.304
RMNH.INS.1271389_Cs_ochroptera - tRNA-Trp gene,92.754,92.754,92.754,92.754,92.754,92.754,91.304,91.304,91.304,91.304,91.304,91.304,92.754,92.754,92.754,95.652,94.203,94.203,92.754,92.754,92.754,91.304,91.304,91.304,95.652,95.652,95.652,89.855,89.855,89.855,89.855,89.855,89.855,88.406,88.406,88.406,94.203,94.203,94.203,94.203,88.406,94.203,95.652,95.652,95.652,94.203,91.304,92.754,92.754,92.754,94.203,94.203,94.203,91.304,91.304,95.652,95.652,95.652,98.551,98.551,98.551,88.406,88.406,88.406,91.304,91.304,92.754,89.855,89.855,89.855,89.855,92.754,92.754,92.754,95.652,95.652,95.652,92.754,92.754,92.754,91.304,
