,RMNH.INS.1271298_An_messeae - COX2 gene,RMNH.INS.1271299_An_messeae - COX2 gene,RMNH.INS.1271300_An_messeae - COX2 gene,RMNH.INS.1271301_Cq_richiardii - COX2 gene,RMNH.INS.1271302_Cq_richiardii - COX2 gene,RMNH.INS.1271303_Cq_richiardii - COX2 gene,RMNH.INS.1271304_Ae_vexans - COX2 gene,RMNH.INS.1271305_Ae_vexans - COX2 gene,RMNH.INS.1271306_Ae_vexans - COX2 gene,RMNH.INS.1271307_Cs_annulata - COX2 gene,RMNH.INS.1271308_Cs_annulata - COX2 gene,RMNH.INS.1271309_Cs_annulata - COX2 gene,RMNH.INS.1271310_An_claviger - COX2 gene,RMNH.INS.1271311_An_claviger - COX2 gene,RMNH.INS.1271312_An_claviger - COX2 gene,RMNH.INS.1271313_Cx_modestus - COX2 gene,RMNH.INS.1271314_Cx_modestus - COX2 gene,RMNH.INS.1271315_Cx_modestus - COX2 gene,RMNH.INS.1271316_Cx_territans - COX2 gene,RMNH.INS.1271317_Cx_territans - COX2 gene,RMNH.INS.1271318_Cx_territans - COX2 gene,RMNH.INS.1271319_Ae_cinereus - COX2 gene,RMNH.INS.1271320_Ae_cinereus - COX2 gene,RMNH.INS.1271321_Ae_cinereus - COX2 gene,RMNH.INS.1271322_Cs_longiareolata - COX2 gene,RMNH.INS.1271323_Cs_longiareolata - COX2 gene,RMNH.INS.1271324_Cs_longiareolata - COX2 gene,RMNH.INS.1271325_Ae_annulipes_cantans - COX2 gene,RMNH.INS.1271326_Ae_annulipes_cantans - COX2 gene,RMNH.INS.1271327_Ae_annulipes_cantans - COX2 gene,RMNH.INS.1271328_Ae_annulipes_cantans - COX2 gene,RMNH.INS.1271329_Ae_annulipes_cantans - COX2 gene,RMNH.INS.1271330_Ae_annulipes_cantans - COX2 gene,RMNH.INS.1271331_Ae_rusticus - COX2 gene,RMNH.INS.1271332_Ae_rusticus - COX2 gene,RMNH.INS.1271333_Ae_rusticus - COX2 gene,RMNH.INS.1271334_Ae_communis - COX2 gene,RMNH.INS.1271335_Ae_communis - COX2 gene,RMNH.INS.1271336_Ae_communis - COX2 gene,RMNH.INS.1271337_Ae_punctor - COX2 gene,RMNH.INS.1271338_Ae_rusticus - COX2 gene,RMNH.INS.1271339_Ae_punctor - COX2 gene,RMNH.INS.1271340_Ae_geniculatus - COX2 gene,RMNH.INS.1271341_Ae_geniculatus - COX2 gene,RMNH.INS.1271342_Ae_geniculatus - COX2 gene,RMNH.INS.1271344_Cs_subochrea - COX2 gene,RMNH.INS.1271345_Cs_annulata - COX2 gene,RMNH.INS.1271346_Ae_caspius - COX2 gene,RMNH.INS.1271347_Ae_caspius - COX2 gene,RMNH.INS.1271348_Ae_caspius - COX2 gene,RMNH.INS.1271349_An_plumbeus_partial_genome - COX2 gene,RMNH.INS.1271350_An_plumbeus_partial_genome - COX2 gene,RMNH.INS.1271351_An_plumbeus_partial_genome - COX2 gene,RMNH.INS.1271352_Cs_annulata - COX2 gene,RMNH.INS.1271354_Cs_annulata - COX2 gene,RMNH.INS.1271355_Cx_pipiens - COX2 gene,RMNH.INS.1271356_Cx_pipiens - COX2 gene,RMNH.INS.1271357_Cx_pipiens - COX2 gene,RMNH.INS.1271358_Cs_morsitans - COX2 gene,RMNH.INS.1271359_Cs_morsitans - COX2 gene,RMNH.INS.1271360_Cs_morsitans - COX2 gene,RMNH.INS.1271361_Ae_sticticus - COX2 gene,RMNH.INS.1271362_Ae_sticticus - COX2 gene,RMNH.INS.1271363_Ae_sticticus - COX2 gene,RMNH.INS.1271367_Ae_detritus - COX2 gene,RMNH.INS.1271368_Ae_detritus - COX2 gene,RMNH.INS.1271369_Ae_caspius - COX2 gene,RMNH.INS.1271370_Ae_flavescens - COX2 gene,RMNH.INS.1271371_Ae_flavescens - COX2 gene,RMNH.INS.1271372_Ae_flavescens - COX2 gene,RMNH.INS.1271375_Ae_leucomelas - COX2 gene,RMNH.INS.1271376_Ae_albopictus - COX2 gene,RMNH.INS.1271377_Ae_albopictus - COX2 gene,RMNH.INS.1271378_Ae_albopictus - COX2 gene,RMNH.INS.1271379_Ae_japonicus - COX2 gene,RMNH.INS.1271380_Ae_japonicus - COX2 gene,RMNH.INS.1271381_Ae_japonicus - COX2 gene,RMNH.INS.1271382_Ae_aegypti - COX2 gene,RMNH.INS.1271383_Ae_aegypti - COX2 gene,RMNH.INS.1271384_Ae_aegypti - COX2 gene,RMNH.INS.1271386_Ae_cinereus - COX2 gene,RMNH.INS.1271389_Cs_ochroptera - COX2 gene
RMNH.INS.1271324_Cs_longiareolata - COX2 gene,84.503,84.795,84.795,87.773,87.627,87.627,88.743,88.889,88.743,92.105,92.251,92.251,86.404,86.257,86.404,88.596,88.012,88.158,89.035,88.596,88.596,85.673,85.526,85.234,100,100,,89.766,89.327,89.474,89.474,89.474,89.327,89.912,89.912,89.912,88.158,88.158,88.012,87.281,89.912,87.281,89.327,89.327,89.327,92.251,92.251,89.766,89.912,89.62,87.135,87.135,87.135,92.251,92.251,87.573,87.573,87.427,89.035,89.035,89.035,88.596,88.596,88.45,88.45,88.45,89.912,88.889,88.889,88.889,88.304,88.889,88.889,88.743,88.596,88.596,88.304,88.45,88.596,88.45,85.234,90.351
RMNH.INS.1271325_Ae_annulipes_cantans - COX2 gene,84.942,85.234,85.38,87.918,87.773,87.773,93.86,93.713,93.86,90.497,90.351,90.497,85.819,85.673,85.819,89.474,89.035,89.181,90.643,90.497,90.497,89.766,89.766,89.474,89.766,89.766,89.766,,99.561,99.708,99.708,99.415,99.269,94.298,94.298,94.298,94.152,94.006,93.86,93.275,94.298,93.275,95.175,95.175,95.175,90.643,90.351,95.029,95.175,94.883,86.842,86.842,86.842,90.351,90.351,89.62,89.62,89.62,89.62,89.912,89.912,93.421,93.421,93.275,92.105,92.544,95.175,98.099,98.099,98.099,95.76,89.62,89.62,89.474,91.959,91.959,91.813,89.474,89.766,89.474,89.474,90.643
RMNH.INS.1271326_Ae_annulipes_cantans - COX2 gene,85.234,85.526,85.673,88.064,87.918,87.918,93.713,93.567,93.713,90.351,90.205,90.351,85.819,85.673,85.819,89.327,88.889,89.035,90.789,90.643,90.643,89.912,89.912,89.62,89.327,89.327,89.327,99.561,,99.561,99.561,99.269,99.123,94.152,94.152,94.152,94.298,94.152,94.006,93.713,94.152,93.713,95.029,95.029,95.029,90.789,90.205,94.883,95.029,94.737,86.842,86.842,86.842,90.205,90.205,89.474,89.474,89.474,89.766,90.058,90.058,93.275,93.275,93.129,91.959,92.69,95.029,98.246,98.246,98.246,95.614,89.474,89.474,89.327,91.813,91.813,91.667,89.327,89.62,89.327,89.62,90.497
RMNH.INS.1271327_Ae_annulipes_cantans - COX2 gene,85.234,85.526,85.673,88.064,87.918,87.918,94.152,94.006,94.152,90.643,90.497,90.643,86.111,85.965,86.111,89.62,89.327,89.474,90.789,90.643,90.643,89.912,89.912,89.62,89.474,89.474,89.474,99.708,99.561,,99.708,99.708,99.561,94.444,94.444,94.444,94.152,94.006,94.152,93.421,94.444,93.421,95.468,95.468,95.468,90.789,90.497,95.175,95.322,95.029,86.988,86.988,86.988,90.497,90.497,89.912,89.912,89.912,89.766,90.058,90.058,93.567,93.567,93.421,92.105,92.544,95.322,98.392,98.392,98.392,95.906,89.766,89.766,89.62,92.105,92.105,91.959,89.62,89.912,89.62,89.62,90.789
RMNH.INS.1271328_Ae_annulipes_cantans - COX2 gene,84.942,85.234,85.38,87.918,87.773,87.773,93.86,93.713,93.86,90.497,90.351,90.497,85.819,85.673,85.819,89.474,89.035,89.181,90.643,90.497,90.497,89.766,89.766,89.474,89.474,89.474,89.474,99.708,99.561,99.708,,99.415,99.269,94.298,94.298,94.298,94.152,94.006,93.86,93.275,94.298,93.275,95.175,95.175,95.175,90.643,90.351,95.029,95.175,94.883,86.842,86.842,86.842,90.351,90.351,89.62,89.62,89.62,89.62,89.912,89.912,93.421,93.421,93.275,92.105,92.544,95.175,98.099,98.099,98.099,95.76,89.62,89.62,89.474,91.959,91.959,91.813,89.474,89.766,89.474,89.474,90.643
RMNH.INS.1271329_Ae_annulipes_cantans - COX2 gene,85.526,85.819,85.965,88.064,87.918,87.918,94.006,93.86,94.006,90.497,90.351,90.497,85.965,85.819,85.965,89.327,89.035,89.181,90.497,90.351,90.351,89.766,89.912,89.62,89.474,89.474,89.474,99.415,99.269,99.708,99.415,,99.854,94.444,94.444,94.444,93.86,94.006,94.152,93.129,94.444,93.129,95.175,95.175,95.175,90.643,90.351,95.029,95.175,94.883,86.696,86.696,86.696,90.351,90.351,89.62,89.62,89.62,89.62,89.912,89.912,93.275,93.275,93.129,92.105,92.544,95.175,98.099,98.099,98.099,95.614,89.474,89.474,89.327,91.813,91.813,91.667,89.474,89.766,89.474,89.62,90.789
RMNH.INS.1271330_Ae_annulipes_cantans - COX2 gene,85.673,85.965,86.111,87.918,87.773,87.773,93.86,93.713,93.86,90.351,90.205,90.351,85.819,85.673,85.819,89.181,88.889,89.035,90.351,90.205,90.205,89.62,89.766,89.474,89.327,89.327,89.327,99.269,99.123,99.561,99.269,99.854,,94.298,94.298,94.298,93.713,93.86,94.006,93.275,94.298,93.275,95.029,95.029,95.029,90.497,90.205,94.883,95.029,94.737,86.55,86.55,86.55,90.205,90.205,89.474,89.474,89.474,89.766,90.058,90.058,93.421,93.421,93.275,91.959,92.398,95.029,97.953,97.953,97.953,95.468,89.327,89.327,89.181,91.667,91.667,91.52,89.327,89.62,89.327,89.474,90.643
RMNH.INS.1271331_Ae_rusticus - COX2 gene,84.795,85.088,85.234,87.627,87.482,87.482,93.275,93.129,93.275,90.205,90.351,90.497,86.257,86.111,86.257,88.158,87.865,88.012,90.058,89.912,89.912,89.912,90.058,89.766,89.912,89.912,89.912,94.298,94.152,94.444,94.298,94.444,94.298,,100,100,92.836,92.69,92.69,92.544,100,92.544,93.275,93.275,93.275,90.643,90.351,94.591,95.029,94.444,87.135,87.135,87.135,90.351,90.351,89.62,89.62,89.474,88.158,88.45,88.45,92.69,92.69,92.544,91.374,91.52,95.029,93.713,93.713,93.713,94.006,89.474,89.474,89.327,91.667,91.667,91.228,89.035,89.181,89.035,89.766,89.912
RMNH.INS.1271332_Ae_rusticus - COX2 gene,84.795,85.088,85.234,87.627,87.482,87.482,93.275,93.129,93.275,90.205,90.351,90.497,86.257,86.111,86.257,88.158,87.865,88.012,90.058,89.912,89.912,89.912,90.058,89.766,89.912,89.912,89.912,94.298,94.152,94.444,94.298,94.444,94.298,100,,100,92.836,92.69,92.69,92.544,100,92.544,93.275,93.275,93.275,90.643,90.351,94.591,95.029,94.444,87.135,87.135,87.135,90.351,90.351,89.62,89.62,89.474,88.158,88.45,88.45,92.69,92.69,92.544,91.374,91.52,95.029,93.713,93.713,93.713,94.006,89.474,89.474,89.327,91.667,91.667,91.228,89.035,89.181,89.035,89.766,89.912
RMNH.INS.1271333_Ae_rusticus - COX2 gene,84.795,85.088,85.234,87.627,87.482,87.482,93.275,93.129,93.275,90.205,90.351,90.497,86.257,86.111,86.257,88.158,87.865,88.012,90.058,89.912,89.912,89.912,90.058,89.766,89.912,89.912,89.912,94.298,94.152,94.444,94.298,94.444,94.298,100,100,,92.836,92.69,92.69,92.544,100,92.544,93.275,93.275,93.275,90.643,90.351,94.591,95.029,94.444,87.135,87.135,87.135,90.351,90.351,89.62,89.62,89.474,88.158,88.45,88.45,92.69,92.69,92.544,91.374,91.52,95.029,93.713,93.713,93.713,94.006,89.474,89.474,89.327,91.667,91.667,91.228,89.035,89.181,89.035,89.766,89.912
RMNH.INS.1271334_Ae_communis - COX2 gene,84.211,84.503,84.503,86.608,86.463,86.463,92.69,92.544,92.69,89.327,89.474,89.62,84.795,84.649,84.795,88.304,87.865,88.012,90.205,90.351,90.351,89.181,89.181,88.889,88.158,88.158,88.158,94.152,94.298,94.152,94.152,93.86,93.713,92.836,92.836,92.836,,99.854,99.708,94.591,92.836,94.591,93.86,93.86,93.86,89.474,89.474,93.86,93.713,94.006,84.942,84.942,84.942,89.474,89.474,88.45,88.45,88.304,88.158,88.304,88.158,92.105,92.105,91.959,91.667,91.52,93.713,93.713,93.713,93.421,92.982,89.327,89.327,89.181,90.497,90.497,90.205,88.304,88.596,88.158,88.889,89.035
RMNH.INS.1271335_Ae_communis - COX2 gene,84.357,84.649,84.649,86.754,86.608,86.608,92.544,92.398,92.544,89.327,89.474,89.62,84.649,84.503,84.649,88.158,87.719,87.865,90.058,90.205,90.205,89.035,89.035,88.743,88.158,88.158,88.158,94.006,94.152,94.006,94.006,94.006,93.86,92.69,92.69,92.69,99.854,,99.854,94.444,92.69,94.444,93.713,93.713,93.713,89.474,89.474,93.713,93.567,93.86,84.795,84.795,84.795,89.474,89.474,88.304,88.304,88.158,88.158,88.304,88.158,91.959,91.959,91.813,91.667,91.52,93.567,93.567,93.567,93.275,92.836,89.181,89.181,89.035,90.351,90.351,90.058,88.158,88.45,88.012,88.743,89.035
RMNH.INS.1271336_Ae_communis - COX2 gene,84.503,84.795,84.795,86.754,86.608,86.608,92.69,92.544,92.69,89.327,89.474,89.62,84.795,84.649,84.795,88.158,87.865,88.012,90.058,90.205,90.205,89.035,89.035,88.743,88.012,88.012,88.012,93.86,94.006,94.152,93.86,94.152,94.006,92.69,92.69,92.69,99.708,99.854,,94.444,92.69,94.444,93.86,93.86,93.86,89.474,89.474,93.713,93.567,93.86,84.795,84.795,84.795,89.474,89.474,88.45,88.45,88.304,88.158,88.304,88.158,91.959,91.959,91.813,91.52,91.374,93.567,93.713,93.713,93.421,92.836,89.181,89.181,89.035,90.351,90.351,90.058,88.158,88.45,88.012,88.743,89.035
RMNH.INS.1271337_Ae_punctor - COX2 gene,83.918,84.211,84.357,86.172,86.026,86.026,92.982,92.836,92.982,89.181,89.327,89.474,84.357,84.211,84.357,87.865,87.281,87.427,89.035,88.889,88.889,88.012,88.012,87.719,87.281,87.281,87.281,93.275,93.713,93.421,93.275,93.129,93.275,92.544,92.544,92.544,94.591,94.444,94.444,,92.544,100,92.69,92.69,92.69,89.62,89.327,93.86,93.713,93.713,85.673,85.673,85.673,89.327,89.327,88.012,88.012,88.012,88.304,88.596,88.596,91.374,91.374,91.228,91.228,91.667,93.713,92.982,92.982,92.982,92.398,88.45,88.45,88.304,90.643,90.643,90.497,88.304,88.596,88.304,87.719,88.889
RMNH.INS.1271338_Ae_rusticus - COX2 gene,84.795,85.088,85.234,87.627,87.482,87.482,93.275,93.129,93.275,90.205,90.351,90.497,86.257,86.111,86.257,88.158,87.865,88.012,90.058,89.912,89.912,89.912,90.058,89.766,89.912,89.912,89.912,94.298,94.152,94.444,94.298,94.444,94.298,100,100,100,92.836,92.69,92.69,92.544,,92.544,93.275,93.275,93.275,90.643,90.351,94.591,95.029,94.444,87.135,87.135,87.135,90.351,90.351,89.62,89.62,89.474,88.158,88.45,88.45,92.69,92.69,92.544,91.374,91.52,95.029,93.713,93.713,93.713,94.006,89.474,89.474,89.327,91.667,91.667,91.228,89.035,89.181,89.035,89.766,89.912
RMNH.INS.1271339_Ae_punctor - COX2 gene,83.918,84.211,84.357,86.172,86.026,86.026,92.982,92.836,92.982,89.181,89.327,89.474,84.357,84.211,84.357,87.865,87.281,87.427,89.035,88.889,88.889,88.012,88.012,87.719,87.281,87.281,87.281,93.275,93.713,93.421,93.275,93.129,93.275,92.544,92.544,92.544,94.591,94.444,94.444,100,92.544,,92.69,92.69,92.69,89.62,89.327,93.86,93.713,93.713,85.673,85.673,85.673,89.327,89.327,88.012,88.012,88.012,88.304,88.596,88.596,91.374,91.374,91.228,91.228,91.667,93.713,92.982,92.982,92.982,92.398,88.45,88.45,88.304,90.643,90.643,90.497,88.304,88.596,88.304,87.719,88.889
RMNH.INS.1271340_Ae_geniculatus - COX2 gene,84.649,84.942,85.088,87.627,87.482,87.482,92.69,92.836,92.69,89.327,89.474,89.474,85.673,85.526,85.673,88.596,88.596,88.743,90.058,89.62,89.62,89.474,89.474,89.181,89.327,89.327,89.327,95.175,95.029,95.468,95.175,95.175,95.029,93.275,93.275,93.275,93.86,93.713,93.86,92.69,93.275,92.69,,100,100,89.912,89.474,94.006,94.152,93.86,86.55,86.55,86.55,89.474,89.474,88.743,88.743,88.743,88.012,88.012,88.012,92.398,92.398,92.251,91.667,92.105,94.152,94.152,94.152,94.152,93.421,89.912,89.912,89.766,91.959,91.959,91.667,89.181,89.766,89.181,89.181,88.889
RMNH.INS.1271341_Ae_geniculatus - COX2 gene,84.649,84.942,85.088,87.627,87.482,87.482,92.69,92.836,92.69,89.327,89.474,89.474,85.673,85.526,85.673,88.596,88.596,88.743,90.058,89.62,89.62,89.474,89.474,89.181,89.327,89.327,89.327,95.175,95.029,95.468,95.175,95.175,95.029,93.275,93.275,93.275,93.86,93.713,93.86,92.69,93.275,92.69,100,,100,89.912,89.474,94.006,94.152,93.86,86.55,86.55,86.55,89.474,89.474,88.743,88.743,88.743,88.012,88.012,88.012,92.398,92.398,92.251,91.667,92.105,94.152,94.152,94.152,94.152,93.421,89.912,89.912,89.766,91.959,91.959,91.667,89.181,89.766,89.181,89.181,88.889
RMNH.INS.1271342_Ae_geniculatus - COX2 gene,84.649,84.942,85.088,87.627,87.482,87.482,92.69,92.836,92.69,89.327,89.474,89.474,85.673,85.526,85.673,88.596,88.596,88.743,90.058,89.62,89.62,89.474,89.474,89.181,89.327,89.327,89.327,95.175,95.029,95.468,95.175,95.175,95.029,93.275,93.275,93.275,93.86,93.713,93.86,92.69,93.275,92.69,100,100,,89.912,89.474,94.006,94.152,93.86,86.55,86.55,86.55,89.474,89.474,88.743,88.743,88.743,88.012,88.012,88.012,92.398,92.398,92.251,91.667,92.105,94.152,94.152,94.152,94.152,93.421,89.912,89.912,89.766,91.959,91.959,91.667,89.181,89.766,89.181,89.181,88.889
RMNH.INS.1271344_Cs_subochrea - COX2 gene,84.795,85.088,85.088,87.191,87.045,87.045,90.643,90.789,90.643,97.368,97.515,97.661,85.526,85.673,85.526,88.596,88.158,88.304,89.327,88.889,88.889,86.55,86.55,86.257,92.251,92.251,92.251,90.643,90.789,90.789,90.643,90.643,90.497,90.643,90.643,90.643,89.474,89.474,89.474,89.62,90.643,89.62,89.912,89.912,89.912,,97.515,90.058,90.643,89.912,88.45,88.45,88.45,97.515,97.515,90.058,90.058,89.912,91.813,91.813,91.813,89.912,89.912,89.766,89.035,89.62,90.643,90.497,90.497,90.497,89.766,89.327,89.327,89.181,87.865,87.865,87.719,88.304,88.304,88.304,86.257,91.52
RMNH.INS.1271345_Cs_annulata - COX2 gene,84.503,84.795,84.795,86.608,86.463,86.463,90.205,90.351,90.205,99.854,100,99.854,85.234,85.088,85.234,88.45,87.865,88.012,89.327,88.889,88.889,86.111,86.111,85.819,92.251,92.251,92.251,90.351,90.205,90.497,90.351,90.351,90.205,90.351,90.351,90.351,89.474,89.474,89.474,89.327,90.351,89.327,89.474,89.474,89.474,97.515,,89.766,90.351,89.62,88.45,88.45,88.45,100,100,89.766,89.766,89.62,91.228,91.228,91.228,89.62,89.62,89.766,88.743,88.743,90.351,89.62,89.62,89.62,90.058,89.181,89.181,89.035,88.012,88.012,87.865,88.304,88.304,88.304,85.819,91.228
RMNH.INS.1271346_Ae_caspius - COX2 gene,84.064,84.357,84.503,86.463,86.317,86.317,93.86,93.713,93.86,89.62,89.766,89.912,85.38,85.234,85.38,88.45,87.865,88.012,90.205,90.351,90.351,90.205,90.058,89.766,89.766,89.766,89.766,95.029,94.883,95.175,95.029,95.029,94.883,94.591,94.591,94.591,93.86,93.713,93.713,93.86,94.591,93.86,94.006,94.006,94.006,90.058,89.766,,99.269,99.854,86.55,86.55,86.55,89.766,89.766,89.62,89.62,89.62,87.573,87.865,87.865,92.251,92.251,92.105,92.251,92.398,99.269,94.737,94.737,94.444,93.86,89.035,89.035,88.889,91.228,91.228,91.082,88.743,89.181,88.743,89.766,90.058
RMNH.INS.1271347_Ae_caspius - COX2 gene,84.064,84.357,84.503,86.754,86.608,86.608,94.006,93.86,94.006,90.205,90.351,90.497,85.526,85.38,85.526,88.743,88.158,88.304,90.351,90.497,90.497,90.058,89.912,89.62,89.912,89.912,89.912,95.175,95.029,95.322,95.175,95.175,95.029,95.029,95.029,95.029,93.713,93.567,93.567,93.713,95.029,93.713,94.152,94.152,94.152,90.643,90.351,99.269,,99.123,86.988,86.988,86.988,90.351,90.351,90.205,90.205,90.205,88.012,88.304,88.304,92.69,92.69,92.544,92.398,92.544,100,94.883,94.883,94.591,94.444,89.181,89.181,89.035,91.374,91.374,91.228,88.889,89.327,88.889,89.62,90.205
RMNH.INS.1271348_Ae_caspius - COX2 gene,83.918,84.211,84.357,86.317,86.172,86.172,93.713,93.567,93.713,89.474,89.62,89.766,85.234,85.088,85.234,88.304,87.719,87.865,90.058,90.205,90.205,90.058,89.912,89.62,89.62,89.62,89.62,94.883,94.737,95.029,94.883,94.883,94.737,94.444,94.444,94.444,94.006,93.86,93.86,93.713,94.444,93.713,93.86,93.86,93.86,89.912,89.62,99.854,99.123,,86.404,86.404,86.404,89.62,89.62,89.474,89.474,89.474,87.427,87.719,87.719,92.105,92.105,91.959,92.105,92.251,99.123,94.591,94.591,94.298,93.713,88.889,88.889,88.743,91.082,91.082,90.936,88.596,89.035,88.596,89.62,89.912
RMNH.INS.1271349_An_plumbeus_partial_genome - COX2 gene,86.257,86.404,86.404,83.697,83.843,83.843,85.673,85.819,85.673,88.304,88.45,88.45,87.427,87.281,87.427,85.234,84.649,84.795,85.673,85.234,85.234,82.31,82.31,82.31,87.135,87.135,87.135,86.842,86.842,86.988,86.842,86.696,86.55,87.135,87.135,87.135,84.942,84.795,84.795,85.673,87.135,85.673,86.55,86.55,86.55,88.45,88.45,86.55,86.988,86.404,,100,100,88.45,88.45,85.38,85.38,85.38,85.38,85.38,85.38,84.503,84.503,84.357,84.795,85.088,86.988,86.257,86.257,86.257,86.55,85.088,85.088,84.942,86.404,86.404,86.55,82.749,82.895,82.749,82.31,86.404
RMNH.INS.1271350_An_plumbeus_partial_genome - COX2 gene,86.257,86.404,86.404,83.697,83.843,83.843,85.673,85.819,85.673,88.304,88.45,88.45,87.427,87.281,87.427,85.234,84.649,84.795,85.673,85.234,85.234,82.31,82.31,82.31,87.135,87.135,87.135,86.842,86.842,86.988,86.842,86.696,86.55,87.135,87.135,87.135,84.942,84.795,84.795,85.673,87.135,85.673,86.55,86.55,86.55,88.45,88.45,86.55,86.988,86.404,100,,100,88.45,88.45,85.38,85.38,85.38,85.38,85.38,85.38,84.503,84.503,84.357,84.795,85.088,86.988,86.257,86.257,86.257,86.55,85.088,85.088,84.942,86.404,86.404,86.55,82.749,82.895,82.749,82.31,86.404
RMNH.INS.1271351_An_plumbeus_partial_genome - COX2 gene,86.257,86.404,86.404,83.697,83.843,83.843,85.673,85.819,85.673,88.304,88.45,88.45,87.427,87.281,87.427,85.234,84.649,84.795,85.673,85.234,85.234,82.31,82.31,82.31,87.135,87.135,87.135,86.842,86.842,86.988,86.842,86.696,86.55,87.135,87.135,87.135,84.942,84.795,84.795,85.673,87.135,85.673,86.55,86.55,86.55,88.45,88.45,86.55,86.988,86.404,100,100,,88.45,88.45,85.38,85.38,85.38,85.38,85.38,85.38,84.503,84.503,84.357,84.795,85.088,86.988,86.257,86.257,86.257,86.55,85.088,85.088,84.942,86.404,86.404,86.55,82.749,82.895,82.749,82.31,86.404
RMNH.INS.1271352_Cs_annulata - COX2 gene,84.503,84.795,84.795,86.608,86.463,86.463,90.205,90.351,90.205,99.854,100,99.854,85.234,85.088,85.234,88.45,87.865,88.012,89.327,88.889,88.889,86.111,86.111,85.819,92.251,92.251,92.251,90.351,90.205,90.497,90.351,90.351,90.205,90.351,90.351,90.351,89.474,89.474,89.474,89.327,90.351,89.327,89.474,89.474,89.474,97.515,100,89.766,90.351,89.62,88.45,88.45,88.45,,100,89.766,89.766,89.62,91.228,91.228,91.228,89.62,89.62,89.766,88.743,88.743,90.351,89.62,89.62,89.62,90.058,89.181,89.181,89.035,88.012,88.012,87.865,88.304,88.304,88.304,85.819,91.228
RMNH.INS.1271354_Cs_annulata - COX2 gene,84.503,84.795,84.795,86.608,86.463,86.463,90.205,90.351,90.205,99.854,100,99.854,85.234,85.088,85.234,88.45,87.865,88.012,89.327,88.889,88.889,86.111,86.111,85.819,92.251,92.251,92.251,90.351,90.205,90.497,90.351,90.351,90.205,90.351,90.351,90.351,89.474,89.474,89.474,89.327,90.351,89.327,89.474,89.474,89.474,97.515,100,89.766,90.351,89.62,88.45,88.45,88.45,100,,89.766,89.766,89.62,91.228,91.228,91.228,89.62,89.62,89.766,88.743,88.743,90.351,89.62,89.62,89.62,90.058,89.181,89.181,89.035,88.012,88.012,87.865,88.304,88.304,88.304,85.819,91.228
RMNH.INS.1271355_Cx_pipiens - COX2 gene,83.041,83.333,83.48,86.172,86.317,86.317,89.62,89.474,89.62,89.62,89.766,89.912,85.819,85.673,85.819,93.567,93.421,93.567,90.058,89.912,89.912,87.427,87.427,87.135,87.573,87.573,87.573,89.62,89.474,89.912,89.62,89.62,89.474,89.62,89.62,89.62,88.45,88.304,88.45,88.012,89.62,88.012,88.743,88.743,88.743,90.058,89.766,89.62,90.205,89.474,85.38,85.38,85.38,89.766,89.766,,100,99.854,87.865,88.158,88.158,88.012,88.012,87.865,88.012,88.45,90.205,89.474,89.474,89.474,89.62,88.45,88.45,88.304,87.865,87.865,87.573,87.573,87.865,87.719,87.135,89.327
RMNH.INS.1271356_Cx_pipiens - COX2 gene,83.041,83.333,83.48,86.172,86.317,86.317,89.62,89.474,89.62,89.62,89.766,89.912,85.819,85.673,85.819,93.567,93.421,93.567,90.058,89.912,89.912,87.427,87.427,87.135,87.573,87.573,87.573,89.62,89.474,89.912,89.62,89.62,89.474,89.62,89.62,89.62,88.45,88.304,88.45,88.012,89.62,88.012,88.743,88.743,88.743,90.058,89.766,89.62,90.205,89.474,85.38,85.38,85.38,89.766,89.766,100,,99.854,87.865,88.158,88.158,88.012,88.012,87.865,88.012,88.45,90.205,89.474,89.474,89.474,89.62,88.45,88.45,88.304,87.865,87.865,87.573,87.573,87.865,87.719,87.135,89.327
RMNH.INS.1271357_Cx_pipiens - COX2 gene,82.895,83.187,83.333,86.026,86.172,86.172,89.474,89.327,89.474,89.474,89.62,89.766,85.673,85.526,85.673,93.421,93.275,93.421,89.912,89.766,89.766,87.281,87.281,86.988,87.427,87.427,87.427,89.62,89.474,89.912,89.62,89.62,89.474,89.474,89.474,89.474,88.304,88.158,88.304,88.012,89.474,88.012,88.743,88.743,88.743,89.912,89.62,89.62,90.205,89.474,85.38,85.38,85.38,89.62,89.62,99.854,99.854,,87.865,88.158,88.158,87.865,87.865,87.719,87.865,88.304,90.205,89.327,89.327,89.327,89.62,88.304,88.304,88.158,87.865,87.865,87.573,87.427,87.719,87.573,86.988,89.327
RMNH.INS.1271358_Cs_morsitans - COX2 gene,83.041,83.333,83.333,86.172,86.026,86.026,87.427,87.573,87.427,91.082,91.228,91.374,83.772,83.626,83.772,86.404,85.965,86.111,88.889,88.45,88.45,85.234,85.234,84.942,89.035,89.035,89.035,89.62,89.766,89.766,89.62,89.62,89.766,88.158,88.158,88.158,88.158,88.158,88.158,88.304,88.158,88.304,88.012,88.012,88.012,91.813,91.228,87.573,88.012,87.427,85.38,85.38,85.38,91.228,91.228,87.865,87.865,87.865,,99.561,99.708,88.596,88.596,88.45,87.573,88.45,88.012,88.889,88.889,88.889,88.304,87.573,87.573,87.427,86.988,86.988,87.135,85.965,86.55,86.111,84.942,91.667
