,RMNH.INS.1271298_An_messeae - ND6 CDS,RMNH.INS.1271299_An_messeae - ND6 CDS,RMNH.INS.1271300_An_messeae - ND6 CDS,RMNH.INS.1271301_Cq_richiardii - ND6 CDS,RMNH.INS.1271302_Cq_richiardii - ND6 CDS,RMNH.INS.1271303_Cq_richiardii - ND6 CDS,RMNH.INS.1271304_Ae_vexans - ND6 CDS,RMNH.INS.1271305_Ae_vexans - ND6 CDS,RMNH.INS.1271306_Ae_vexans - ND6 CDS,RMNH.INS.1271307_Cs_annulata - ND6 CDS,RMNH.INS.1271308_Cs_annulata - ND6 CDS,RMNH.INS.1271309_Cs_annulata - ND6 CDS,RMNH.INS.1271310_An_claviger - ND6 CDS,RMNH.INS.1271311_An_claviger - ND6 CDS,RMNH.INS.1271312_An_claviger - ND6 CDS,RMNH.INS.1271313_Cx_modestus - ND6 CDS,RMNH.INS.1271314_Cx_modestus - ND6 CDS,RMNH.INS.1271315_Cx_modestus - ND6 CDS,RMNH.INS.1271316_Cx_territans - ND6 CDS,RMNH.INS.1271317_Cx_territans - ND6 CDS,RMNH.INS.1271318_Cx_territans - ND6 CDS,RMNH.INS.1271319_Ae_cinereus_geminus - ND6 CDS,RMNH.INS.1271320_Ae_cinereus_geminus - ND6 CDS,RMNH.INS.1271321_Ae_cinereus_geminus - ND6 CDS,RMNH.INS.1271322_Cs_longiareolata - ND6 CDS,RMNH.INS.1271323_Cs_longiareolata - ND6 CDS,RMNH.INS.1271324_Cs_longiareolata - ND6 CDS,RMNH.INS.1271325_Ae_annulipes_cantans - ND6 CDS,RMNH.INS.1271326_Ae_annulipes_cantans - ND6 CDS,RMNH.INS.1271327_Ae_annulipes_cantans - ND6 CDS,RMNH.INS.1271328_Ae_annulipes_cantans - ND6 CDS,RMNH.INS.1271329_Ae_annulipes_cantans - ND6 CDS,RMNH.INS.1271330_Ae_annulipes_cantans - ND6 CDS,RMNH.INS.1271331_Ae_rusticus - ND6 CDS,RMNH.INS.1271332_Ae_rusticus - ND6 CDS,RMNH.INS.1271333_Ae_rusticus - ND6 CDS,RMNH.INS.1271334_Ae_communis - ND6 CDS,RMNH.INS.1271335_Ae_communis - ND6 CDS,RMNH.INS.1271336_Ae_communis - ND6 CDS,RMNH.INS.1271337_Ae_punctor - ND6 CDS,RMNH.INS.1271338_Ae_rusticus - ND6 CDS,RMNH.INS.1271339_Ae_punctor - ND6 CDS,RMNH.INS.1271340_Ae_geniculatus - ND6 CDS,RMNH.INS.1271341_Ae_geniculatus - ND6 CDS,RMNH.INS.1271342_Ae_geniculatus - ND6 CDS,RMNH.INS.1271344_Cs_subochrea - ND6 CDS,RMNH.INS.1271345_Cs_annulata - ND6 CDS,RMNH.INS.1271346_Ae_caspius - ND6 CDS,RMNH.INS.1271347_Ae_caspius - ND6 CDS,RMNH.INS.1271348_Ae_caspius - ND6 CDS,RMNH.INS.1271349_An_plumbeus - ND6 CDS,RMNH.INS.1271350_An_plumbeus - ND6 CDS,RMNH.INS.1271351_An_plumbeus - ND6 CDS,RMNH.INS.1271352_Cs_annulata - ND6 CDS,RMNH.INS.1271354_Cs_annulata - ND6 CDS,RMNH.INS.1271355_Cx_pipiens - ND6 CDS,RMNH.INS.1271356_Cx_pipiens - ND6 CDS,RMNH.INS.1271357_Cx_pipiens - ND6 CDS,RMNH.INS.1271358_Cs_morsitans - ND6 CDS,RMNH.INS.1271359_Cs_morsitans - ND6 CDS,RMNH.INS.1271360_Cs_morsitans - ND6 CDS,RMNH.INS.1271361_Ae_sticticus - ND6 CDS,RMNH.INS.1271362_Ae_sticticus - ND6 CDS,RMNH.INS.1271363_Ae_sticticus - ND6 CDS,RMNH.INS.1271367_Ae_detritus - ND6 CDS,RMNH.INS.1271368_Ae_detritus - ND6 CDS,RMNH.INS.1271369_Ae_caspius - ND6 CDS,RMNH.INS.1271370_Ae_flavescens - ND6 CDS,RMNH.INS.1271371_Ae_flavescens - ND6 CDS,RMNH.INS.1271372_Ae_flavescens - ND6 CDS,RMNH.INS.1271375_Ae_leucomelas - ND6 CDS,RMNH.INS.1271376_Ae_albopictus - ND6 CDS,RMNH.INS.1271377_Ae_albopictus - ND6 CDS,RMNH.INS.1271378_Ae_albopictus - ND6 CDS,RMNH.INS.1271379_Ae_japonicus - ND6 CDS,RMNH.INS.1271380_Ae_japonicus - ND6 CDS,RMNH.INS.1271381_Ae_japonicus - ND6 CDS,RMNH.INS.1271382_Ae_aegypti - ND6 CDS,RMNH.INS.1271383_Ae_aegypti - ND6 CDS,RMNH.INS.1271384_Ae_aegypti - ND6 CDS,RMNH.INS.1271386_Ae_cinereus_geminus - ND6 CDS,RMNH.INS.1271389_Cs_ochroptera - ND6 CDS
RMNH.INS.1271324_Cs_longiareolata - ND6 CDS,79.191,79.191,78.998,75.686,75.882,75.882,81.888,81.888,82.081,84.496,84.496,83.721,79.961,79.769,79.961,82.752,82.558,82.171,82.752,82.752,82.752,81.503,81.310,81.310,100.000,100.000,,81.503,81.118,81.118,81.310,80.347,80.347,82.659,82.659,82.659,80.539,80.347,80.347,78.998,82.659,79.191,81.503,81.503,81.503,83.044,84.496,81.503,81.696,81.503,79.961,79.961,79.961,84.496,84.496,81.783,81.783,81.783,83.237,83.044,83.237,79.769,79.769,79.961,83.622,83.044,81.503,81.888,81.888,81.696,81.118,79.191,79.191,79.191,79.576,79.576,79.576,78.998,78.420,79.576,81.310,84.971
RMNH.INS.1271325_Ae_annulipes_cantans - ND6 CDS,77.264,77.264,77.071,74.510,74.706,74.902,89.017,89.017,88.825,83.527,83.527,82.752,78.227,77.842,78.035,81.008,80.620,80.039,83.527,83.527,83.527,88.054,87.861,87.861,81.503,81.503,81.503,,99.419,98.256,99.806,98.062,98.256,89.595,89.403,89.595,90.698,90.504,90.504,89.922,89.595,89.922,91.085,91.085,91.085,82.081,83.527,92.442,92.442,92.442,80.539,80.539,80.539,83.527,83.527,81.395,81.395,81.395,83.044,83.044,83.044,87.984,87.984,87.984,91.667,91.473,92.248,96.899,96.899,96.705,93.217,82.852,82.852,82.852,88.372,88.372,88.372,83.815,83.430,84.200,87.861,84.393
RMNH.INS.1271326_Ae_annulipes_cantans - ND6 CDS,77.264,77.264,77.071,74.706,74.902,75.098,89.403,89.403,89.210,83.333,83.333,82.558,78.035,77.649,77.842,81.202,80.814,80.233,83.527,83.527,83.527,87.861,87.669,87.669,81.118,81.118,81.118,99.419,,98.062,99.612,98.643,98.450,89.788,89.595,89.788,90.698,90.504,90.504,89.729,89.788,89.729,91.279,91.279,91.279,81.888,83.333,92.636,92.636,92.636,80.732,80.732,80.732,83.333,83.333,81.395,81.395,81.395,83.237,83.237,83.237,88.178,88.178,88.178,91.473,91.279,92.442,96.705,96.705,96.512,93.217,82.852,82.852,82.852,88.372,88.372,88.372,84.008,83.622,84.393,87.669,84.200
RMNH.INS.1271327_Ae_annulipes_cantans - ND6 CDS,77.842,77.842,77.649,74.510,74.706,74.902,89.210,89.210,89.017,82.946,82.946,82.171,78.998,78.613,78.805,80.814,80.426,79.845,83.333,83.333,83.333,88.439,88.247,88.247,81.118,81.118,81.118,98.256,98.062,,98.450,98.256,98.837,89.788,89.595,89.788,90.504,90.310,90.310,89.341,89.788,89.729,90.504,90.504,90.504,82.274,82.946,92.248,92.248,92.248,80.732,80.732,80.732,82.946,82.946,81.589,81.589,81.589,83.622,83.622,83.622,88.178,88.178,88.178,91.279,91.085,92.054,96.318,96.318,96.124,92.636,82.659,82.659,82.659,87.791,87.791,87.791,83.815,83.430,84.200,88.247,84.971
RMNH.INS.1271328_Ae_annulipes_cantans - ND6 CDS,77.071,77.071,76.879,74.510,74.706,74.902,89.210,89.210,89.017,83.333,83.333,82.558,78.035,77.649,77.842,81.008,80.620,80.039,83.527,83.527,83.527,87.861,87.669,87.669,81.310,81.310,81.310,99.806,99.612,98.450,,98.256,98.450,89.788,89.595,89.788,90.504,90.310,90.310,89.729,89.788,89.729,90.891,90.891,90.891,81.888,83.333,92.636,92.636,92.636,80.347,80.347,80.347,83.333,83.333,81.395,81.395,81.395,82.852,82.852,82.852,88.178,88.178,88.178,91.473,91.279,92.442,96.705,96.705,96.512,93.411,82.659,82.659,82.659,88.178,88.178,88.178,83.815,83.430,84.200,87.669,84.200
RMNH.INS.1271329_Ae_annulipes_cantans - ND6 CDS,77.071,77.071,76.879,74.314,74.510,74.706,88.439,88.439,88.247,82.558,82.558,81.783,77.649,77.264,77.457,80.426,80.039,79.457,82.752,82.752,82.752,87.091,86.898,86.898,80.347,80.347,80.347,98.062,98.643,98.256,98.256,,99.419,88.825,88.632,88.825,89.729,89.535,89.535,88.760,88.825,89.147,90.504,90.504,90.504,81.118,82.558,91.667,91.667,91.667,80.347,80.347,80.347,82.558,82.558,80.620,80.620,80.620,82.852,82.852,82.852,87.403,87.403,87.403,91.085,90.504,91.473,96.318,96.318,96.124,92.248,82.081,82.081,82.081,87.209,87.209,87.209,83.237,82.852,83.622,86.898,83.622
RMNH.INS.1271330_Ae_annulipes_cantans - ND6 CDS,76.879,76.879,76.686,74.118,74.314,74.510,88.439,88.439,88.247,82.171,82.171,81.395,78.035,77.649,77.842,80.233,79.845,79.264,82.752,82.752,82.752,87.283,87.091,87.091,80.347,80.347,80.347,98.256,98.450,98.837,98.450,99.419,,89.017,88.825,89.017,89.922,89.729,89.729,88.953,89.017,89.341,90.116,90.116,90.116,81.118,82.171,91.473,91.473,91.473,80.154,80.154,80.154,82.171,82.171,80.620,80.620,80.620,82.852,82.852,82.852,87.403,87.403,87.403,90.891,90.310,91.279,95.930,95.930,95.736,92.248,82.274,82.274,82.274,86.822,86.822,86.822,82.852,82.466,83.237,87.091,83.815
RMNH.INS.1271331_Ae_rusticus - ND6 CDS,79.576,79.576,79.383,75.882,76.078,76.078,92.100,92.100,91.908,84.302,84.302,83.915,80.154,79.961,80.154,82.752,82.558,81.977,82.946,82.946,82.946,89.981,89.788,89.788,82.659,82.659,82.659,89.595,89.788,89.788,89.788,88.825,89.017,,99.807,100.000,88.054,87.861,87.861,85.549,100.000,85.549,89.403,89.403,89.403,83.044,84.302,90.559,90.559,90.559,82.466,82.466,82.466,84.302,84.302,83.721,83.721,83.721,84.200,84.393,84.200,87.283,87.283,87.476,88.247,88.247,90.366,89.788,89.788,89.595,90.944,84.778,84.971,84.778,85.934,85.934,85.934,86.320,86.320,86.127,89.788,84.778
RMNH.INS.1271332_Ae_rusticus - ND6 CDS,79.576,79.576,79.383,75.882,76.078,76.078,91.908,91.908,91.715,84.302,84.302,83.915,80.154,79.961,80.154,82.946,82.752,82.171,82.946,82.946,82.946,89.788,89.595,89.595,82.659,82.659,82.659,89.403,89.595,89.595,89.595,88.632,88.825,99.807,,99.807,87.861,87.669,87.669,85.356,99.807,85.356,89.210,89.210,89.210,83.044,84.302,90.366,90.366,90.366,82.466,82.466,82.466,84.302,84.302,83.915,83.915,83.915,84.200,84.393,84.200,87.091,87.091,87.283,88.054,88.054,90.173,89.595,89.595,89.403,90.751,84.778,84.971,84.778,85.742,85.742,85.742,86.320,86.320,86.127,89.595,84.778
RMNH.INS.1271333_Ae_rusticus - ND6 CDS,79.576,79.576,79.383,75.882,76.078,76.078,92.100,92.100,91.908,84.302,84.302,83.915,80.154,79.961,80.154,82.752,82.558,81.977,82.946,82.946,82.946,89.981,89.788,89.788,82.659,82.659,82.659,89.595,89.788,89.788,89.788,88.825,89.017,100.000,99.807,,88.054,87.861,87.861,85.549,100.000,85.549,89.403,89.403,89.403,83.044,84.302,90.559,90.559,90.559,82.466,82.466,82.466,84.302,84.302,83.721,83.721,83.721,84.200,84.393,84.200,87.283,87.283,87.476,88.247,88.247,90.366,89.788,89.788,89.595,90.944,84.778,84.971,84.778,85.934,85.934,85.934,86.320,86.320,86.127,89.788,84.778
RMNH.INS.1271334_Ae_communis - ND6 CDS,76.301,76.301,76.108,73.333,73.529,73.725,88.054,88.054,87.861,81.202,81.202,80.814,76.879,76.686,76.879,79.457,79.651,79.070,80.426,80.426,80.426,85.742,85.549,85.549,80.539,80.539,80.539,90.698,90.698,90.504,90.504,89.729,89.922,88.054,87.861,88.054,,99.806,99.806,91.473,88.054,91.473,89.729,89.729,89.729,81.888,81.202,90.698,90.698,90.698,77.649,77.649,77.649,81.202,81.202,79.845,79.845,79.845,81.888,82.081,81.888,86.628,86.628,86.822,89.922,89.729,90.504,90.504,90.504,90.310,90.504,82.081,82.081,82.081,86.047,86.047,86.047,84.971,84.778,84.778,85.549,83.044
RMNH.INS.1271335_Ae_communis - ND6 CDS,76.108,76.108,75.915,73.137,73.333,73.529,87.861,87.861,87.669,81.008,81.008,80.620,76.686,76.493,76.686,79.264,79.457,78.876,80.233,80.233,80.233,85.549,85.356,85.356,80.347,80.347,80.347,90.504,90.504,90.310,90.310,89.535,89.729,87.861,87.669,87.861,99.806,,100.000,91.279,87.861,91.279,89.535,89.535,89.535,81.696,81.008,90.504,90.504,90.504,77.457,77.457,77.457,81.008,81.008,79.651,79.651,79.651,81.696,81.888,81.696,86.434,86.434,86.628,89.729,89.535,90.310,90.310,90.310,90.116,90.310,81.888,81.888,81.888,85.853,85.853,85.853,84.778,84.586,84.586,85.356,82.852
RMNH.INS.1271336_Ae_communis - ND6 CDS,76.108,76.108,75.915,73.137,73.333,73.529,87.861,87.861,87.669,81.008,81.008,80.620,76.686,76.493,76.686,79.264,79.457,78.876,80.233,80.233,80.233,85.549,85.356,85.356,80.347,80.347,80.347,90.504,90.504,90.310,90.310,89.535,89.729,87.861,87.669,87.861,99.806,100.000,,91.279,87.861,91.279,89.535,89.535,89.535,81.696,81.008,90.504,90.504,90.504,77.457,77.457,77.457,81.008,81.008,79.651,79.651,79.651,81.696,81.888,81.696,86.434,86.434,86.628,89.729,89.535,90.310,90.310,90.310,90.116,90.310,81.888,81.888,81.888,85.853,85.853,85.853,84.778,84.586,84.586,85.356,82.852
RMNH.INS.1271337_Ae_punctor - ND6 CDS,76.108,76.108,75.915,72.353,72.549,72.745,85.742,85.742,85.549,80.233,80.233,79.845,76.493,76.108,76.301,78.101,77.713,77.132,78.488,78.488,78.488,84.393,84.586,84.586,78.998,78.998,78.998,89.922,89.729,89.341,89.729,88.760,88.953,85.549,85.356,85.549,91.473,91.279,91.279,,85.549,99.612,87.403,87.403,87.403,79.576,80.233,88.566,88.566,88.566,76.108,76.108,76.108,80.233,80.233,78.682,78.682,78.682,80.732,80.732,80.732,86.434,86.434,86.240,88.178,87.791,88.372,89.535,89.535,89.729,89.729,80.154,80.154,80.154,83.527,83.527,83.527,82.659,82.274,82.274,84.586,82.659
RMNH.INS.1271338_Ae_rusticus - ND6 CDS,79.576,79.576,79.383,75.882,76.078,76.078,92.100,92.100,91.908,84.302,84.302,83.915,80.154,79.961,80.154,82.752,82.558,81.977,82.946,82.946,82.946,89.981,89.788,89.788,82.659,82.659,82.659,89.595,89.788,89.788,89.788,88.825,89.017,100.000,99.807,100.000,88.054,87.861,87.861,85.549,,85.549,89.403,89.403,89.403,83.044,84.302,90.559,90.559,90.559,82.466,82.466,82.466,84.302,84.302,83.721,83.721,83.721,84.200,84.393,84.200,87.283,87.283,87.476,88.247,88.247,90.366,89.788,89.788,89.595,90.944,84.778,84.971,84.778,85.934,85.934,85.934,86.320,86.320,86.127,89.788,84.778
RMNH.INS.1271339_Ae_punctor - ND6 CDS,76.301,76.301,76.108,72.157,72.353,72.549,85.742,85.742,85.549,80.233,80.233,79.845,76.686,76.301,76.493,78.295,77.907,77.326,78.682,78.682,78.682,84.586,84.778,84.778,79.191,79.191,79.191,89.922,89.729,89.729,89.729,89.147,89.341,85.549,85.356,85.549,91.473,91.279,91.279,99.612,85.549,,87.403,87.403,87.403,79.191,80.233,88.566,88.566,88.566,75.915,75.915,75.915,80.233,80.233,78.876,78.876,78.876,80.539,80.539,80.539,86.822,86.822,86.628,88.372,87.984,88.372,89.535,89.535,89.729,89.729,80.154,80.154,80.154,83.527,83.527,83.527,82.274,82.274,82.274,84.778,82.466
RMNH.INS.1271340_Ae_geniculatus - ND6 CDS,78.035,78.035,77.842,75.294,75.490,75.490,88.825,88.825,89.017,83.721,83.721,83.333,78.613,78.420,78.613,81.589,81.395,80.814,82.752,82.752,82.752,87.861,87.669,87.669,81.503,81.503,81.503,91.085,91.279,90.504,90.891,90.504,90.116,89.403,89.210,89.403,89.729,89.535,89.535,87.403,89.403,87.403,,100.000,100.000,82.274,83.721,92.442,92.442,92.442,79.383,79.383,79.383,83.721,83.721,82.558,82.558,82.558,82.466,82.274,82.466,89.535,89.535,89.729,90.504,89.922,92.248,92.248,92.248,92.054,91.860,84.200,84.200,84.200,88.372,88.372,88.372,86.898,86.513,87.091,87.669,83.815
RMNH.INS.1271341_Ae_geniculatus - ND6 CDS,78.035,78.035,77.842,75.294,75.490,75.490,88.825,88.825,89.017,83.721,83.721,83.333,78.613,78.420,78.613,81.589,81.395,80.814,82.752,82.752,82.752,87.861,87.669,87.669,81.503,81.503,81.503,91.085,91.279,90.504,90.891,90.504,90.116,89.403,89.210,89.403,89.729,89.535,89.535,87.403,89.403,87.403,100.000,,100.000,82.274,83.721,92.442,92.442,92.442,79.383,79.383,79.383,83.721,83.721,82.558,82.558,82.558,82.466,82.274,82.466,89.535,89.535,89.729,90.504,89.922,92.248,92.248,92.248,92.054,91.860,84.200,84.200,84.200,88.372,88.372,88.372,86.898,86.513,87.091,87.669,83.815
RMNH.INS.1271342_Ae_geniculatus - ND6 CDS,78.035,78.035,77.842,75.294,75.490,75.490,88.825,88.825,89.017,83.721,83.721,83.333,78.613,78.420,78.613,81.589,81.395,80.814,82.752,82.752,82.752,87.861,87.669,87.669,81.503,81.503,81.503,91.085,91.279,90.504,90.891,90.504,90.116,89.403,89.210,89.403,89.729,89.535,89.535,87.403,89.403,87.403,100.000,100.000,,82.274,83.721,92.442,92.442,92.442,79.383,79.383,79.383,83.721,83.721,82.558,82.558,82.558,82.466,82.274,82.466,89.535,89.535,89.729,90.504,89.922,92.248,92.248,92.248,92.054,91.860,84.200,84.200,84.200,88.372,88.372,88.372,86.898,86.513,87.091,87.669,83.815
RMNH.INS.1271344_Cs_subochrea - ND6 CDS,77.264,77.264,77.071,78.627,78.824,78.824,82.852,82.852,83.044,94.767,94.767,93.992,77.264,77.071,77.264,82.946,82.558,82.171,84.690,84.690,84.690,82.274,82.081,82.081,83.044,83.044,83.044,82.081,81.888,82.274,81.888,81.118,81.118,83.044,83.044,83.044,81.888,81.696,81.696,79.576,83.044,79.191,82.274,82.274,82.274,,94.767,83.237,83.430,83.237,79.576,79.576,79.576,94.767,94.767,84.109,84.109,84.109,85.356,85.164,85.356,80.154,80.154,80.154,83.622,83.622,83.237,82.274,82.274,82.081,82.081,82.659,82.466,82.659,81.310,81.310,81.310,81.310,80.154,81.503,82.081,86.705
RMNH.INS.1271345_Cs_annulata - ND6 CDS,78.682,78.682,78.488,78.431,78.627,78.824,83.527,83.527,83.721,100.000,100.000,99.225,78.682,78.488,78.682,84.884,84.496,84.109,85.659,85.659,85.659,82.946,82.752,82.752,84.496,84.496,84.496,83.527,83.333,82.946,83.333,82.558,82.171,84.302,84.302,84.302,81.202,81.008,81.008,80.233,84.302,80.233,83.721,83.721,83.721,94.767,,83.721,83.915,83.721,81.202,81.202,81.202,100.000,100.000,86.240,86.240,86.240,86.628,86.434,86.628,81.977,81.977,81.977,83.527,82.946,83.721,83.915,83.915,83.721,83.140,82.364,82.171,82.364,82.752,82.752,82.752,81.395,81.008,81.977,82.752,87.597
RMNH.INS.1271346_Ae_caspius - ND6 CDS,79.191,79.191,78.998,74.706,74.902,75.098,92.486,92.486,92.293,83.721,83.721,83.333,79.576,79.191,79.383,81.395,81.202,80.620,83.333,83.333,83.333,88.632,88.439,88.439,81.503,81.503,81.503,92.442,92.636,92.248,92.636,91.667,91.473,90.559,90.366,90.559,90.698,90.504,90.504,88.566,90.559,88.566,92.442,92.442,92.442,83.237,83.721,,99.612,100.000,80.732,80.732,80.732,83.721,83.721,83.140,83.140,83.140,84.200,84.200,84.200,89.729,89.729,89.922,91.667,91.473,99.806,93.023,93.023,92.829,93.023,82.274,82.274,82.274,88.953,88.953,88.953,86.127,85.742,86.127,88.439,84.393
RMNH.INS.1271347_Ae_caspius - ND6 CDS,79.383,79.383,79.191,74.510,74.706,74.902,92.486,92.486,92.293,83.915,83.915,83.527,79.383,78.998,79.191,81.589,81.395,80.814,83.527,83.527,83.527,88.439,88.247,88.247,81.696,81.696,81.696,92.442,92.636,92.248,92.636,91.667,91.473,90.559,90.366,90.559,90.698,90.504,90.504,88.566,90.559,88.566,92.442,92.442,92.442,83.430,83.915,99.612,,99.612,80.732,80.732,80.732,83.915,83.915,83.140,83.140,83.140,84.200,84.200,84.200,89.535,89.535,89.729,91.667,91.473,99.806,93.023,93.023,92.829,93.023,82.274,82.274,82.274,89.147,89.147,89.147,85.934,85.549,85.934,88.247,84.586
RMNH.INS.1271348_Ae_caspius - ND6 CDS,79.191,79.191,78.998,74.706,74.902,75.098,92.486,92.486,92.293,83.721,83.721,83.333,79.576,79.191,79.383,81.395,81.202,80.620,83.333,83.333,83.333,88.632,88.439,88.439,81.503,81.503,81.503,92.442,92.636,92.248,92.636,91.667,91.473,90.559,90.366,90.559,90.698,90.504,90.504,88.566,90.559,88.566,92.442,92.442,92.442,83.237,83.721,100.000,99.612,,80.732,80.732,80.732,83.721,83.721,83.140,83.140,83.140,84.200,84.200,84.200,89.729,89.729,89.922,91.667,91.473,99.806,93.023,93.023,92.829,93.023,82.274,82.274,82.274,88.953,88.953,88.953,86.127,85.742,86.127,88.439,84.393
RMNH.INS.1271349_An_plumbeus - ND6 CDS,84.571,84.571,84.381,75.686,75.882,75.882,81.118,81.118,81.118,81.202,81.202,80.426,85.524,85.143,85.333,79.651,80.039,79.651,82.171,82.171,82.171,79.885,79.693,79.693,79.961,79.961,79.961,80.539,80.732,80.732,80.347,80.347,80.154,82.466,82.466,82.466,77.649,77.457,77.457,76.108,82.466,75.915,79.383,79.383,79.383,79.576,81.202,80.732,80.732,80.732,,100.000,100.000,81.202,81.202,80.233,80.233,80.233,80.268,80.268,80.268,79.693,79.693,79.961,78.805,78.805,80.732,80.347,80.347,80.154,79.383,79.191,79.383,79.191,79.576,79.576,79.576,78.420,78.035,78.420,79.693,82.081
RMNH.INS.1271350_An_plumbeus - ND6 CDS,84.571,84.571,84.381,75.686,75.882,75.882,81.118,81.118,81.118,81.202,81.202,80.426,85.524,85.143,85.333,79.651,80.039,79.651,82.171,82.171,82.171,79.885,79.693,79.693,79.961,79.961,79.961,80.539,80.732,80.732,80.347,80.347,80.154,82.466,82.466,82.466,77.649,77.457,77.457,76.108,82.466,75.915,79.383,79.383,79.383,79.576,81.202,80.732,80.732,80.732,100.000,,100.000,81.202,81.202,80.233,80.233,80.233,80.268,80.268,80.268,79.693,79.693,79.961,78.805,78.805,80.732,80.347,80.347,80.154,79.383,79.191,79.383,79.191,79.576,79.576,79.576,78.420,78.035,78.420,79.693,82.081
RMNH.INS.1271351_An_plumbeus - ND6 CDS,84.571,84.571,84.381,75.686,75.882,75.882,81.118,81.118,81.118,81.202,81.202,80.426,85.524,85.143,85.333,79.651,80.039,79.651,82.171,82.171,82.171,79.885,79.693,79.693,79.961,79.961,79.961,80.539,80.732,80.732,80.347,80.347,80.154,82.466,82.466,82.466,77.649,77.457,77.457,76.108,82.466,75.915,79.383,79.383,79.383,79.576,81.202,80.732,80.732,80.732,100.000,100.000,,81.202,81.202,80.233,80.233,80.233,80.268,80.268,80.268,79.693,79.693,79.961,78.805,78.805,80.732,80.347,80.347,80.154,79.383,79.191,79.383,79.191,79.576,79.576,79.576,78.420,78.035,78.420,79.693,82.081
RMNH.INS.1271352_Cs_annulata - ND6 CDS,78.682,78.682,78.488,78.431,78.627,78.824,83.527,83.527,83.721,100.000,100.000,99.225,78.682,78.488,78.682,84.884,84.496,84.109,85.659,85.659,85.659,82.946,82.752,82.752,84.496,84.496,84.496,83.527,83.333,82.946,83.333,82.558,82.171,84.302,84.302,84.302,81.202,81.008,81.008,80.233,84.302,80.233,83.721,83.721,83.721,94.767,100.000,83.721,83.915,83.721,81.202,81.202,81.202,,100.000,86.240,86.240,86.240,86.628,86.434,86.628,81.977,81.977,81.977,83.527,82.946,83.721,83.915,83.915,83.721,83.140,82.364,82.171,82.364,82.752,82.752,82.752,81.395,81.008,81.977,82.752,87.597
RMNH.INS.1271354_Cs_annulata - ND6 CDS,78.682,78.682,78.488,78.431,78.627,78.824,83.527,83.527,83.721,100.000,100.000,99.225,78.682,78.488,78.682,84.884,84.496,84.109,85.659,85.659,85.659,82.946,82.752,82.752,84.496,84.496,84.496,83.527,83.333,82.946,83.333,82.558,82.171,84.302,84.302,84.302,81.202,81.008,81.008,80.233,84.302,80.233,83.721,83.721,83.721,94.767,100.000,83.721,83.915,83.721,81.202,81.202,81.202,100.000,,86.240,86.240,86.240,86.628,86.434,86.628,81.977,81.977,81.977,83.527,82.946,83.721,83.915,83.915,83.721,83.140,82.364,82.171,82.364,82.752,82.752,82.752,81.395,81.008,81.977,82.752,87.597
RMNH.INS.1271355_Cx_pipiens - ND6 CDS,79.457,79.264,79.264,75.882,76.078,76.275,83.915,83.915,84.109,86.240,86.240,86.047,81.008,80.814,81.008,91.085,90.891,90.310,89.147,89.147,89.147,83.140,82.946,82.946,81.783,81.783,81.783,81.395,81.395,81.589,81.395,80.620,80.620,83.721,83.915,83.721,79.845,79.651,79.651,78.682,83.721,78.876,82.558,82.558,82.558,84.109,86.240,83.140,83.140,83.140,80.233,80.233,80.233,86.240,86.240,,100.000,100.000,84.302,84.109,84.302,81.783,81.783,81.783,81.008,81.008,82.946,81.977,81.977,81.783,81.977,81.783,81.783,81.783,80.039,80.039,80.039,81.783,81.589,81.977,82.946,83.721
RMNH.INS.1271356_Cx_pipiens - ND6 CDS,79.457,79.264,79.264,75.882,76.078,76.275,83.915,83.915,84.109,86.240,86.240,86.047,81.008,80.814,81.008,91.085,90.891,90.310,89.147,89.147,89.147,83.140,82.946,82.946,81.783,81.783,81.783,81.395,81.395,81.589,81.395,80.620,80.620,83.721,83.915,83.721,79.845,79.651,79.651,78.682,83.721,78.876,82.558,82.558,82.558,84.109,86.240,83.140,83.140,83.140,80.233,80.233,80.233,86.240,86.240,100.000,,100.000,84.302,84.109,84.302,81.783,81.783,81.783,81.008,81.008,82.946,81.977,81.977,81.783,81.977,81.783,81.783,81.783,80.039,80.039,80.039,81.783,81.589,81.977,82.946,83.721
RMNH.INS.1271357_Cx_pipiens - ND6 CDS,79.457,79.264,79.264,75.882,76.078,76.275,83.915,83.915,84.109,86.240,86.240,86.047,81.008,80.814,81.008,91.085,90.891,90.310,89.147,89.147,89.147,83.140,82.946,82.946,81.783,81.783,81.783,81.395,81.395,81.589,81.395,80.620,80.620,83.721,83.915,83.721,79.845,79.651,79.651,78.682,83.721,78.876,82.558,82.558,82.558,84.109,86.240,83.140,83.140,83.140,80.233,80.233,80.233,86.240,86.240,100.000,100.000,,84.302,84.109,84.302,81.783,81.783,81.783,81.008,81.008,82.946,81.977,81.977,81.783,81.977,81.783,81.783,81.783,80.039,80.039,80.039,81.783,81.589,81.977,82.946,83.721
