,RMNH.INS.1271298_An_messeae - COX3 CDS,RMNH.INS.1271299_An_messeae - COX3 CDS,RMNH.INS.1271300_An_messeae - COX3 CDS,RMNH.INS.1271301_Cq_richiardii - COX3 CDS,RMNH.INS.1271302_Cq_richiardii - COX3 CDS,RMNH.INS.1271303_Cq_richiardii - COX3 CDS,RMNH.INS.1271304_Ae_vexans - COX3 CDS,RMNH.INS.1271305_Ae_vexans - COX3 CDS,RMNH.INS.1271306_Ae_vexans - COX3 CDS,RMNH.INS.1271307_Cs_annulata - COX3 CDS,RMNH.INS.1271308_Cs_annulata - COX3 CDS,RMNH.INS.1271309_Cs_annulata - COX3 CDS,RMNH.INS.1271310_An_claviger - COX3 CDS,RMNH.INS.1271311_An_claviger - COX3 CDS,RMNH.INS.1271312_An_claviger - COX3 CDS,RMNH.INS.1271313_Cx_modestus - COX3 CDS,RMNH.INS.1271314_Cx_modestus - COX3 CDS,RMNH.INS.1271315_Cx_modestus - COX3 CDS,RMNH.INS.1271316_Cx_territans - COX3 CDS,RMNH.INS.1271317_Cx_territans - COX3 CDS,RMNH.INS.1271318_Cx_territans - COX3 CDS,RMNH.INS.1271319_Ae_cinereus_geminus - COX3 CDS,RMNH.INS.1271320_Ae_cinereus_geminus - COX3 CDS,RMNH.INS.1271321_Ae_cinereus_geminus - COX3 CDS,RMNH.INS.1271322_Cs_longiareolata - COX3 CDS,RMNH.INS.1271323_Cs_longiareolata - COX3 CDS,RMNH.INS.1271324_Cs_longiareolata - COX3 CDS,RMNH.INS.1271325_Ae_annulipes_cantans - COX3 CDS,RMNH.INS.1271326_Ae_annulipes_cantans - COX3 CDS,RMNH.INS.1271327_Ae_annulipes_cantans - COX3 CDS,RMNH.INS.1271328_Ae_annulipes_cantans - COX3 CDS,RMNH.INS.1271329_Ae_annulipes_cantans - COX3 CDS,RMNH.INS.1271330_Ae_annulipes_cantans - COX3 CDS,RMNH.INS.1271331_Ae_rusticus - COX3 CDS,RMNH.INS.1271332_Ae_rusticus - COX3 CDS,RMNH.INS.1271333_Ae_rusticus - COX3 CDS,RMNH.INS.1271334_Ae_communis - COX3 CDS,RMNH.INS.1271335_Ae_communis - COX3 CDS,RMNH.INS.1271336_Ae_communis - COX3 CDS,RMNH.INS.1271337_Ae_punctor - COX3 CDS,RMNH.INS.1271338_Ae_rusticus - COX3 CDS,RMNH.INS.1271339_Ae_punctor - COX3 CDS,RMNH.INS.1271340_Ae_geniculatus - COX3 CDS,RMNH.INS.1271341_Ae_geniculatus - COX3 CDS,RMNH.INS.1271342_Ae_geniculatus - COX3 CDS,RMNH.INS.1271344_Cs_subochrea - COX3 CDS,RMNH.INS.1271345_Cs_annulata - COX3 CDS,RMNH.INS.1271346_Ae_caspius - COX3 CDS,RMNH.INS.1271347_Ae_caspius - COX3 CDS,RMNH.INS.1271348_Ae_caspius - COX3 CDS,RMNH.INS.1271349_An_plumbeus - COX3 CDS,RMNH.INS.1271350_An_plumbeus - COX3 CDS,RMNH.INS.1271351_An_plumbeus - COX3 CDS,RMNH.INS.1271352_Cs_annulata - COX3 CDS,RMNH.INS.1271354_Cs_annulata - COX3 CDS,RMNH.INS.1271355_Cx_pipiens - COX3 CDS,RMNH.INS.1271356_Cx_pipiens - COX3 CDS,RMNH.INS.1271357_Cx_pipiens - COX3 CDS,RMNH.INS.1271358_Cs_morsitans - COX3 CDS,RMNH.INS.1271359_Cs_morsitans - COX3 CDS,RMNH.INS.1271360_Cs_morsitans - COX3 CDS,RMNH.INS.1271361_Ae_sticticus - COX3 CDS,RMNH.INS.1271362_Ae_sticticus - COX3 CDS,RMNH.INS.1271363_Ae_sticticus - COX3 CDS,RMNH.INS.1271367_Ae_detritus - COX3 CDS,RMNH.INS.1271368_Ae_detritus - COX3 CDS,RMNH.INS.1271369_Ae_caspius - COX3 CDS,RMNH.INS.1271370_Ae_flavescens - COX3 CDS,RMNH.INS.1271371_Ae_flavescens - COX3 CDS,RMNH.INS.1271372_Ae_flavescens - COX3 CDS,RMNH.INS.1271375_Ae_leucomelas - COX3 CDS,RMNH.INS.1271376_Ae_albopictus - COX3 CDS,RMNH.INS.1271377_Ae_albopictus - COX3 CDS,RMNH.INS.1271378_Ae_albopictus - COX3 CDS,RMNH.INS.1271379_Ae_japonicus - COX3 CDS,RMNH.INS.1271380_Ae_japonicus - COX3 CDS,RMNH.INS.1271381_Ae_japonicus - COX3 CDS,RMNH.INS.1271382_Ae_aegypti - COX3 CDS,RMNH.INS.1271383_Ae_aegypti - COX3 CDS,RMNH.INS.1271384_Ae_aegypti - COX3 CDS,RMNH.INS.1271386_Ae_cinereus_geminus - COX3 CDS,RMNH.INS.1271389_Cs_ochroptera - COX3 CDS
RMNH.INS.1271324_Cs_longiareolata - COX3 CDS,84.918,85.044,85.171,86.819,86.565,86.819,86.058,86.185,86.185,90.114,89.987,90.114,85.044,85.044,85.171,86.819,86.439,86.439,86.819,86.819,86.819,86.185,85.932,86.058,100.000,100.000,,87.072,86.946,87.326,86.946,86.819,86.819,86.312,86.185,86.185,85.298,85.044,85.044,84.030,86.185,84.030,85.932,85.932,85.932,89.227,89.987,85.805,85.932,85.678,83.523,83.523,83.523,89.987,89.987,87.959,87.833,87.959,87.579,87.579,87.579,86.439,86.439,86.565,85.551,85.298,85.932,86.439,86.439,86.439,86.312,86.946,86.946,86.946,85.551,85.551,85.298,86.312,85.425,85.551,86.312,88.847
RMNH.INS.1271325_Ae_annulipes_cantans - COX3 CDS,85.171,85.298,85.551,87.072,86.819,86.819,91.762,91.888,91.888,87.959,87.833,87.959,84.537,84.537,84.664,88.340,87.706,87.833,87.579,87.579,87.579,89.734,89.480,89.607,87.072,87.072,87.072,,99.620,98.352,99.873,98.606,98.859,92.902,92.776,92.776,93.790,93.409,93.409,92.395,92.776,92.395,91.888,91.888,91.888,87.706,87.833,94.043,94.170,93.916,86.185,86.185,86.185,87.833,87.833,88.720,88.593,88.720,87.706,87.706,87.706,92.395,92.395,92.269,93.283,92.649,94.170,97.465,97.465,97.592,94.930,90.875,90.875,90.875,91.001,91.001,91.001,90.621,90.241,90.621,89.607,88.593
RMNH.INS.1271326_Ae_annulipes_cantans - COX3 CDS,85.298,85.425,85.678,86.692,86.439,86.439,91.381,91.508,91.508,87.579,87.452,87.579,84.411,84.411,84.537,88.213,87.579,87.706,87.706,87.706,87.706,89.607,89.354,89.480,86.946,86.946,86.946,99.620,,98.226,99.493,98.479,98.733,92.522,92.395,92.395,93.663,93.283,93.283,92.522,92.395,92.522,91.762,91.762,91.762,87.326,87.452,93.916,94.043,93.790,85.805,85.805,85.805,87.452,87.452,88.847,88.720,88.847,87.833,87.833,87.833,92.776,92.776,92.649,93.156,92.522,94.043,97.338,97.338,97.465,95.057,90.494,90.494,90.494,90.621,90.621,90.621,90.494,89.861,90.241,89.734,88.466
RMNH.INS.1271327_Ae_annulipes_cantans - COX3 CDS,85.044,85.171,85.171,86.819,86.565,86.692,91.508,91.635,91.635,87.579,87.452,87.579,84.537,84.537,84.664,87.072,86.819,86.946,87.072,87.072,87.072,89.607,89.354,89.480,87.326,87.326,87.326,98.352,98.226,,98.226,98.986,98.733,92.776,92.649,92.649,93.536,93.156,93.156,92.142,92.649,92.142,91.381,91.381,91.381,87.959,87.452,93.790,93.663,93.663,85.678,85.678,85.678,87.452,87.452,87.959,87.833,87.706,88.086,88.086,88.086,92.649,92.649,92.522,93.156,92.522,93.663,97.592,97.592,97.719,95.057,90.114,90.114,90.114,90.621,90.621,90.621,90.368,89.987,90.368,89.734,87.959
RMNH.INS.1271328_Ae_annulipes_cantans - COX3 CDS,85.298,85.171,85.425,86.946,86.692,86.692,91.635,91.762,91.762,87.833,87.706,87.833,84.411,84.411,84.537,88.213,87.579,87.706,87.452,87.452,87.452,89.607,89.354,89.480,86.946,86.946,86.946,99.873,99.493,98.226,,98.479,98.733,92.776,92.649,92.649,93.663,93.283,93.283,92.522,92.649,92.522,92.015,92.015,92.015,87.579,87.706,93.916,94.043,93.790,86.058,86.058,86.058,87.706,87.706,88.593,88.466,88.593,87.579,87.579,87.579,92.269,92.269,92.142,93.156,92.522,94.043,97.338,97.338,97.465,94.804,90.748,90.748,90.748,91.128,91.128,91.128,90.494,90.114,90.494,89.480,88.466
RMNH.INS.1271329_Ae_annulipes_cantans - COX3 CDS,85.044,85.171,85.171,86.946,86.692,86.819,92.015,92.142,91.888,87.959,87.833,87.959,84.284,84.284,84.411,87.452,87.199,87.326,86.819,86.819,86.819,89.354,89.100,89.227,86.819,86.819,86.819,98.606,98.479,98.986,98.479,,99.493,92.776,92.649,92.649,93.790,93.409,93.409,92.395,92.649,92.395,91.255,91.255,91.255,87.959,87.833,93.663,93.790,93.536,85.678,85.678,85.678,87.833,87.833,88.086,87.959,87.833,88.086,88.086,88.086,92.649,92.649,92.522,93.156,92.522,93.790,97.085,97.085,97.212,95.311,90.368,90.368,90.368,90.748,90.748,90.494,90.621,90.241,90.621,89.480,87.833
RMNH.INS.1271330_Ae_annulipes_cantans - COX3 CDS,84.791,84.918,85.425,86.946,86.692,86.819,92.015,92.142,91.888,87.833,87.706,87.833,84.284,84.284,84.411,87.959,87.452,87.579,86.819,86.819,86.819,89.607,89.354,89.480,86.819,86.819,86.819,98.859,98.733,98.733,98.733,99.493,,92.776,92.649,92.649,93.536,93.156,93.156,92.649,92.649,92.649,91.255,91.255,91.255,87.706,87.706,93.916,94.043,93.790,85.805,85.805,85.805,87.706,87.706,88.086,87.959,88.086,88.340,88.340,88.340,92.902,92.902,92.776,93.029,92.395,94.043,97.085,97.085,97.212,95.057,90.368,90.368,90.368,91.001,91.001,90.748,90.621,90.241,90.368,89.480,88.340
RMNH.INS.1271331_Ae_rusticus - COX3 CDS,84.906,85.031,85.031,86.565,86.312,86.439,91.001,91.001,90.875,86.819,86.946,87.072,85.660,85.660,85.535,86.565,86.692,86.819,86.164,86.164,86.164,87.959,87.706,87.579,86.312,86.312,86.312,92.902,92.522,92.776,92.776,92.776,92.776,,99.874,99.874,90.621,90.368,90.368,90.241,99.874,90.241,91.128,91.128,91.128,86.692,86.946,91.888,92.395,91.888,85.031,85.031,85.031,86.946,86.946,88.720,88.593,88.466,85.678,85.678,85.678,91.001,91.001,90.875,91.255,91.001,92.395,92.395,92.395,92.522,92.015,88.847,88.847,88.847,89.354,89.354,89.354,88.340,87.706,87.833,87.959,88.086
RMNH.INS.1271332_Ae_rusticus - COX3 CDS,84.906,85.031,85.031,86.439,86.185,86.312,91.001,91.001,90.875,86.946,87.072,87.199,85.535,85.535,85.409,86.439,86.565,86.692,86.289,86.289,86.289,87.833,87.579,87.452,86.185,86.185,86.185,92.776,92.395,92.649,92.649,92.649,92.649,99.874,,100.000,90.621,90.368,90.368,90.241,100.000,90.241,91.001,91.001,91.001,86.819,87.072,91.762,92.269,91.762,84.906,84.906,84.906,87.072,87.072,88.593,88.466,88.340,85.551,85.551,85.551,90.875,90.875,90.748,91.128,90.875,92.269,92.522,92.522,92.649,91.888,88.720,88.720,88.720,89.354,89.354,89.354,88.466,87.833,87.959,87.833,88.086
RMNH.INS.1271333_Ae_rusticus - COX3 CDS,84.906,85.031,85.031,86.439,86.185,86.312,91.001,91.001,90.875,86.946,87.072,87.199,85.535,85.535,85.409,86.439,86.565,86.692,86.289,86.289,86.289,87.833,87.579,87.452,86.185,86.185,86.185,92.776,92.395,92.649,92.649,92.649,92.649,99.874,100.000,,90.621,90.368,90.368,90.241,100.000,90.241,91.001,91.001,91.001,86.819,87.072,91.762,92.269,91.762,84.906,84.906,84.906,87.072,87.072,88.593,88.466,88.340,85.551,85.551,85.551,90.875,90.875,90.748,91.128,90.875,92.269,92.522,92.522,92.649,91.888,88.720,88.720,88.720,89.354,89.354,89.354,88.466,87.833,87.959,87.833,88.086
RMNH.INS.1271334_Ae_communis - COX3 CDS,84.284,84.411,84.411,85.932,85.678,85.932,90.241,90.368,90.368,85.805,85.678,85.805,83.397,83.397,83.523,86.058,86.185,86.312,86.185,86.185,86.185,87.326,87.326,87.452,85.298,85.298,85.298,93.790,93.663,93.536,93.663,93.790,93.536,90.621,90.621,90.621,,99.620,99.620,94.423,90.621,94.423,91.128,91.128,91.128,85.932,85.678,92.015,92.142,91.888,84.030,84.030,84.030,85.678,85.678,86.692,86.692,86.565,86.692,86.692,86.692,90.494,90.494,90.368,90.748,90.368,92.142,93.409,93.409,93.536,91.508,88.593,88.593,88.593,89.607,89.607,89.607,88.847,88.466,88.973,87.706,88.340
RMNH.INS.1271335_Ae_communis - COX3 CDS,84.411,84.537,84.284,85.678,85.425,85.678,89.987,90.114,90.114,85.551,85.425,85.551,83.270,83.270,83.397,85.678,85.805,85.932,85.932,85.932,85.932,87.199,87.199,87.326,85.044,85.044,85.044,93.409,93.283,93.156,93.283,93.409,93.156,90.368,90.368,90.368,99.620,,100.000,94.043,90.368,94.043,90.875,90.875,90.875,85.678,85.425,91.762,91.888,91.635,83.777,83.777,83.777,85.425,85.425,86.312,86.312,86.185,86.312,86.312,86.312,90.368,90.368,90.241,90.368,89.987,91.888,93.029,93.029,93.156,91.381,88.340,88.340,88.340,89.354,89.354,89.354,88.593,88.213,88.720,87.579,87.959
RMNH.INS.1271336_Ae_communis - COX3 CDS,84.411,84.537,84.284,85.678,85.425,85.678,89.987,90.114,90.114,85.551,85.425,85.551,83.270,83.270,83.397,85.678,85.805,85.932,85.932,85.932,85.932,87.199,87.199,87.326,85.044,85.044,85.044,93.409,93.283,93.156,93.283,93.409,93.156,90.368,90.368,90.368,99.620,100.000,,94.043,90.368,94.043,90.875,90.875,90.875,85.678,85.425,91.762,91.888,91.635,83.777,83.777,83.777,85.425,85.425,86.312,86.312,86.185,86.312,86.312,86.312,90.368,90.368,90.241,90.368,89.987,91.888,93.029,93.029,93.156,91.381,88.340,88.340,88.340,89.354,89.354,89.354,88.593,88.213,88.720,87.579,87.959
RMNH.INS.1271337_Ae_punctor - COX3 CDS,83.777,83.650,83.904,85.298,85.044,85.298,89.987,90.114,90.114,85.425,85.551,85.678,83.016,83.016,82.890,85.805,85.932,85.551,85.044,85.044,85.044,87.706,87.706,87.579,84.030,84.030,84.030,92.395,92.522,92.142,92.522,92.395,92.649,90.241,90.241,90.241,94.423,94.043,94.043,,90.241,100.000,90.494,90.494,90.494,85.171,85.551,91.381,91.255,91.255,84.157,84.157,84.157,85.551,85.551,86.058,86.058,86.185,86.946,86.946,86.946,90.241,90.241,90.114,88.973,88.593,91.255,92.269,92.269,92.395,90.494,87.706,87.706,87.706,88.973,88.973,89.227,88.086,87.199,87.706,87.833,86.819
RMNH.INS.1271338_Ae_rusticus - COX3 CDS,84.906,85.031,85.031,86.439,86.185,86.312,91.001,91.001,90.875,86.946,87.072,87.199,85.535,85.535,85.409,86.439,86.565,86.692,86.289,86.289,86.289,87.833,87.579,87.452,86.185,86.185,86.185,92.776,92.395,92.649,92.649,92.649,92.649,99.874,100.000,100.000,90.621,90.368,90.368,90.241,,90.241,91.001,91.001,91.001,86.819,87.072,91.762,92.269,91.762,84.906,84.906,84.906,87.072,87.072,88.593,88.466,88.340,85.551,85.551,85.551,90.875,90.875,90.748,91.128,90.875,92.269,92.522,92.522,92.649,91.888,88.720,88.720,88.720,89.354,89.354,89.354,88.466,87.833,87.959,87.833,88.086
RMNH.INS.1271339_Ae_punctor - COX3 CDS,83.777,83.650,83.904,85.298,85.044,85.298,89.987,90.114,90.114,85.425,85.551,85.678,83.016,83.016,82.890,85.805,85.932,85.551,85.044,85.044,85.044,87.706,87.706,87.579,84.030,84.030,84.030,92.395,92.522,92.142,92.522,92.395,92.649,90.241,90.241,90.241,94.423,94.043,94.043,100.000,90.241,,90.494,90.494,90.494,85.171,85.551,91.381,91.255,91.255,84.157,84.157,84.157,85.551,85.551,86.058,86.058,86.185,86.946,86.946,86.946,90.241,90.241,90.114,88.973,88.593,91.255,92.269,92.269,92.395,90.494,87.706,87.706,87.706,88.973,88.973,89.227,88.086,87.199,87.706,87.833,86.819
RMNH.INS.1271340_Ae_geniculatus - COX3 CDS,84.411,84.284,84.284,85.551,85.298,85.298,89.100,88.973,89.227,86.058,86.058,86.185,83.523,83.523,83.523,87.579,87.199,86.946,85.932,85.932,85.932,86.946,86.692,86.692,85.932,85.932,85.932,91.888,91.762,91.381,92.015,91.255,91.255,91.128,91.001,91.001,91.128,90.875,90.875,90.494,91.001,90.494,,100.000,100.000,85.551,86.058,89.734,89.607,89.734,84.918,84.918,84.918,86.058,86.058,87.959,87.833,87.706,86.692,86.692,86.692,89.734,89.734,89.607,89.987,89.607,89.607,91.128,91.128,91.255,90.494,88.973,88.973,88.973,89.861,89.861,89.987,88.213,87.579,87.833,87.326,87.326
RMNH.INS.1271341_Ae_geniculatus - COX3 CDS,84.411,84.284,84.284,85.551,85.298,85.298,89.100,88.973,89.227,86.058,86.058,86.185,83.523,83.523,83.523,87.579,87.199,86.946,85.932,85.932,85.932,86.946,86.692,86.692,85.932,85.932,85.932,91.888,91.762,91.381,92.015,91.255,91.255,91.128,91.001,91.001,91.128,90.875,90.875,90.494,91.001,90.494,100.000,,100.000,85.551,86.058,89.734,89.607,89.734,84.918,84.918,84.918,86.058,86.058,87.959,87.833,87.706,86.692,86.692,86.692,89.734,89.734,89.607,89.987,89.607,89.607,91.128,91.128,91.255,90.494,88.973,88.973,88.973,89.861,89.861,89.987,88.213,87.579,87.833,87.326,87.326
RMNH.INS.1271342_Ae_geniculatus - COX3 CDS,84.411,84.284,84.284,85.551,85.298,85.298,89.100,88.973,89.227,86.058,86.058,86.185,83.523,83.523,83.523,87.579,87.199,86.946,85.932,85.932,85.932,86.946,86.692,86.692,85.932,85.932,85.932,91.888,91.762,91.381,92.015,91.255,91.255,91.128,91.001,91.001,91.128,90.875,90.875,90.494,91.001,90.494,100.000,100.000,,85.551,86.058,89.734,89.607,89.734,84.918,84.918,84.918,86.058,86.058,87.959,87.833,87.706,86.692,86.692,86.692,89.734,89.734,89.607,89.987,89.607,89.607,91.128,91.128,91.255,90.494,88.973,88.973,88.973,89.861,89.861,89.987,88.213,87.579,87.833,87.326,87.326
RMNH.INS.1271344_Cs_subochrea - COX3 CDS,85.678,85.932,85.805,86.439,86.185,86.439,87.199,87.199,87.326,95.564,95.437,95.564,85.678,85.678,85.678,87.452,87.833,87.959,86.692,86.692,86.692,86.819,86.565,86.565,89.227,89.227,89.227,87.706,87.326,87.959,87.579,87.959,87.706,86.692,86.819,86.819,85.932,85.678,85.678,85.171,86.819,85.171,85.551,85.551,85.551,,95.437,87.326,87.452,87.326,85.678,85.678,85.678,95.437,95.437,88.213,88.086,87.959,88.847,88.847,88.847,86.946,86.946,86.819,86.312,86.185,87.452,87.706,87.706,87.706,87.072,87.579,87.579,87.579,85.298,85.298,85.298,87.959,87.452,87.706,86.819,89.227
RMNH.INS.1271345_Cs_annulata - COX3 CDS,85.678,85.932,85.932,85.932,85.932,86.185,87.199,87.072,87.326,99.873,100.000,99.873,85.932,85.932,85.932,88.086,88.086,88.213,85.551,85.551,85.551,87.072,86.819,86.819,89.987,89.987,89.987,87.833,87.452,87.452,87.706,87.833,87.706,86.946,87.072,87.072,85.678,85.425,85.425,85.551,87.072,85.551,86.058,86.058,86.058,95.437,,87.072,87.452,86.946,85.932,85.932,85.932,100.000,100.000,87.959,87.833,87.579,87.959,87.959,87.959,86.946,86.946,87.072,86.819,86.946,87.452,87.072,87.072,87.199,86.439,87.579,87.579,87.579,85.678,85.678,85.678,87.326,87.072,87.072,87.072,88.593
RMNH.INS.1271346_Ae_caspius - COX3 CDS,84.411,84.537,84.791,86.439,86.185,86.312,91.381,91.508,91.508,87.199,87.072,87.199,84.030,84.030,84.157,87.326,86.692,86.819,86.946,86.946,86.946,88.466,88.213,88.340,85.805,85.805,85.805,94.043,93.916,93.790,93.916,93.663,93.916,91.888,91.762,91.762,92.015,91.762,91.762,91.381,91.762,91.381,89.734,89.734,89.734,87.326,87.072,,99.113,99.620,84.537,84.537,84.537,87.072,87.072,88.340,88.213,88.213,85.932,85.932,85.932,91.635,91.635,91.635,91.762,91.381,99.113,93.663,93.663,93.790,93.536,88.847,88.847,88.847,89.987,89.987,89.987,89.987,89.227,89.480,88.340,86.946
RMNH.INS.1271347_Ae_caspius - COX3 CDS,84.664,84.791,85.044,86.185,85.932,86.058,91.635,91.762,91.762,87.579,87.452,87.579,84.411,84.411,84.537,87.959,87.326,87.452,87.072,87.072,87.072,88.466,88.213,88.340,85.932,85.932,85.932,94.170,94.043,93.663,94.043,93.790,94.043,92.395,92.269,92.269,92.142,91.888,91.888,91.255,92.269,91.255,89.607,89.607,89.607,87.452,87.452,99.113,,99.240,84.791,84.791,84.791,87.452,87.452,88.593,88.466,88.466,86.185,86.185,86.185,91.635,91.635,91.508,91.635,91.255,100.000,93.790,93.790,93.916,93.536,88.847,88.847,88.847,90.241,90.241,90.241,90.368,89.861,89.861,88.340,87.452
RMNH.INS.1271348_Ae_caspius - COX3 CDS,84.411,84.537,84.791,86.439,86.185,86.312,91.381,91.508,91.508,87.072,86.946,87.072,84.030,84.030,84.157,87.326,86.692,86.819,86.946,86.946,86.946,88.340,88.086,88.213,85.678,85.678,85.678,93.916,93.790,93.663,93.790,93.536,93.790,91.888,91.762,91.762,91.888,91.635,91.635,91.255,91.762,91.255,89.734,89.734,89.734,87.326,86.946,99.620,99.240,,84.537,84.537,84.537,86.946,86.946,88.213,88.086,88.086,85.932,85.932,85.932,91.888,91.888,91.762,91.508,91.128,99.240,93.536,93.536,93.663,93.409,88.847,88.847,88.847,89.987,89.987,89.987,89.987,89.227,89.480,88.213,86.946
RMNH.INS.1271349_An_plumbeus - COX3 CDS,88.050,88.302,88.302,82.129,81.876,81.876,84.157,84.284,84.157,86.058,85.932,86.058,88.679,88.679,88.679,84.664,84.030,84.284,84.780,84.906,84.780,83.397,83.143,83.143,83.523,83.523,83.523,86.185,85.805,85.678,86.058,85.678,85.805,85.031,84.906,84.906,84.030,83.777,83.777,84.157,84.906,84.157,84.918,84.918,84.918,85.678,85.932,84.537,84.791,84.537,,100.000,100.000,85.932,85.932,84.918,84.791,84.664,84.664,84.664,84.664,83.523,83.523,83.397,85.298,85.044,84.791,85.678,85.678,85.805,84.791,84.157,84.157,84.157,84.030,84.030,84.030,84.157,83.650,83.904,83.523,85.171
RMNH.INS.1271350_An_plumbeus - COX3 CDS,88.050,88.302,88.302,82.129,81.876,81.876,84.157,84.284,84.157,86.058,85.932,86.058,88.679,88.679,88.679,84.664,84.030,84.284,84.780,84.906,84.780,83.397,83.143,83.143,83.523,83.523,83.523,86.185,85.805,85.678,86.058,85.678,85.805,85.031,84.906,84.906,84.030,83.777,83.777,84.157,84.906,84.157,84.918,84.918,84.918,85.678,85.932,84.537,84.791,84.537,100.000,,100.000,85.932,85.932,84.918,84.791,84.664,84.664,84.664,84.664,83.523,83.523,83.397,85.298,85.044,84.791,85.678,85.678,85.805,84.791,84.157,84.157,84.157,84.030,84.030,84.030,84.157,83.650,83.904,83.523,85.171
RMNH.INS.1271351_An_plumbeus - COX3 CDS,88.050,88.302,88.302,82.129,81.876,81.876,84.157,84.284,84.157,86.058,85.932,86.058,88.679,88.679,88.679,84.664,84.030,84.284,84.780,84.906,84.780,83.397,83.143,83.143,83.523,83.523,83.523,86.185,85.805,85.678,86.058,85.678,85.805,85.031,84.906,84.906,84.030,83.777,83.777,84.157,84.906,84.157,84.918,84.918,84.918,85.678,85.932,84.537,84.791,84.537,100.000,100.000,,85.932,85.932,84.918,84.791,84.664,84.664,84.664,84.664,83.523,83.523,83.397,85.298,85.044,84.791,85.678,85.678,85.805,84.791,84.157,84.157,84.157,84.030,84.030,84.030,84.157,83.650,83.904,83.523,85.171
RMNH.INS.1271352_Cs_annulata - COX3 CDS,85.678,85.932,85.932,85.932,85.932,86.185,87.199,87.072,87.326,99.873,100.000,99.873,85.932,85.932,85.932,88.086,88.086,88.213,85.551,85.551,85.551,87.072,86.819,86.819,89.987,89.987,89.987,87.833,87.452,87.452,87.706,87.833,87.706,86.946,87.072,87.072,85.678,85.425,85.425,85.551,87.072,85.551,86.058,86.058,86.058,95.437,100.000,87.072,87.452,86.946,85.932,85.932,85.932,,100.000,87.959,87.833,87.579,87.959,87.959,87.959,86.946,86.946,87.072,86.819,86.946,87.452,87.072,87.072,87.199,86.439,87.579,87.579,87.579,85.678,85.678,85.678,87.326,87.072,87.072,87.072,88.593
RMNH.INS.1271354_Cs_annulata - COX3 CDS,85.678,85.932,85.932,85.932,85.932,86.185,87.199,87.072,87.326,99.873,100.000,99.873,85.932,85.932,85.932,88.086,88.086,88.213,85.551,85.551,85.551,87.072,86.819,86.819,89.987,89.987,89.987,87.833,87.452,87.452,87.706,87.833,87.706,86.946,87.072,87.072,85.678,85.425,85.425,85.551,87.072,85.551,86.058,86.058,86.058,95.437,100.000,87.072,87.452,86.946,85.932,85.932,85.932,100.000,,87.959,87.833,87.579,87.959,87.959,87.959,86.946,86.946,87.072,86.819,86.946,87.452,87.072,87.072,87.199,86.439,87.579,87.579,87.579,85.678,85.678,85.678,87.326,87.072,87.072,87.072,88.593
RMNH.INS.1271355_Cx_pipiens - COX3 CDS,85.678,85.932,85.805,87.833,87.579,87.579,87.199,87.072,87.326,88.086,87.959,88.086,85.298,85.298,85.298,94.043,93.536,93.790,89.607,89.607,89.607,85.425,85.171,85.171,87.959,87.959,87.959,88.720,88.847,87.959,88.593,88.086,88.086,88.720,88.593,88.593,86.692,86.312,86.312,86.058,88.593,86.058,87.959,87.959,87.959,88.213,87.959,88.340,88.593,88.213,84.918,84.918,84.918,87.959,87.959,,99.873,99.620,88.593,88.593,88.593,86.819,86.819,86.946,88.340,87.833,88.593,88.086,88.086,88.086,88.086,86.692,86.692,86.692,88.213,88.213,88.340,87.706,86.819,86.946,85.678,88.593
RMNH.INS.1271356_Cx_pipiens - COX3 CDS,85.551,85.805,85.678,87.833,87.579,87.579,87.072,86.946,87.199,87.959,87.833,87.959,85.171,85.171,85.171,93.916,93.409,93.663,89.480,89.480,89.480,85.298,85.044,85.044,87.833,87.833,87.833,88.593,88.720,87.833,88.466,87.959,87.959,88.593,88.466,88.466,86.692,86.312,86.312,86.058,88.466,86.058,87.833,87.833,87.833,88.086,87.833,88.213,88.466,88.086,84.791,84.791,84.791,87.833,87.833,99.873,,99.747,88.466,88.466,88.466,86.692,86.692,86.819,88.213,87.706,88.466,87.959,87.959,87.959,87.959,86.565,86.565,86.565,88.086,88.086,88.213,87.579,86.692,86.819,85.551,88.466
RMNH.INS.1271357_Cx_pipiens - COX3 CDS,85.425,85.678,85.805,87.579,87.326,87.326,86.946,86.819,87.072,87.706,87.579,87.706,85.044,85.044,85.044,93.916,93.156,93.409,89.354,89.354,89.354,85.425,85.171,85.171,87.959,87.959,87.959,88.720,88.847,87.706,88.593,87.833,88.086,88.466,88.340,88.340,86.565,86.185,86.185,86.185,88.340,86.185,87.706,87.706,87.706,87.959,87.579,88.213,88.466,88.086,84.664,84.664,84.664,87.579,87.579,99.620,99.747,,88.340,88.340,88.340,86.819,86.819,86.946,88.086,87.579,88.466,87.833,87.833,87.833,87.833,86.439,86.439,86.439,88.213,88.213,88.340,87.452,86.565,86.692,85.425,88.466
