,RMNH.INS.1271298_An_messeae - COX1 gene,RMNH.INS.1271299_An_messeae - COX1 gene,RMNH.INS.1271300_An_messeae - COX1 gene,RMNH.INS.1271301_Cq_richiardii - COX1 gene,RMNH.INS.1271302_Cq_richiardii - COX1 gene,RMNH.INS.1271303_Cq_richiardii - COX1 gene,RMNH.INS.1271304_Ae_vexans - COX1 gene,RMNH.INS.1271305_Ae_vexans - COX1 gene,RMNH.INS.1271306_Ae_vexans - COX1 gene,RMNH.INS.1271307_Cs_annulata - COX1 gene,RMNH.INS.1271308_Cs_annulata - COX1 gene,RMNH.INS.1271309_Cs_annulata - COX1 gene,RMNH.INS.1271310_An_claviger - COX1 gene,RMNH.INS.1271311_An_claviger - COX1 gene,RMNH.INS.1271312_An_claviger - COX1 gene,RMNH.INS.1271313_Cx_modestus - COX1 gene,RMNH.INS.1271314_Cx_modestus - COX1 gene,RMNH.INS.1271315_Cx_modestus - COX1 gene,RMNH.INS.1271316_Cx_territans - COX1 gene,RMNH.INS.1271317_Cx_territans - COX1 gene,RMNH.INS.1271318_Cx_territans - COX1 gene,RMNH.INS.1271319_Ae_cinereus - COX1 gene,RMNH.INS.1271320_Ae_cinereus - COX1 gene,RMNH.INS.1271321_Ae_cinereus - COX1 gene,RMNH.INS.1271322_Cs_longiareolata - COX1 gene,RMNH.INS.1271323_Cs_longiareolata - COX1 gene,RMNH.INS.1271324_Cs_longiareolata - COX1 gene,RMNH.INS.1271325_Ae_annulipes_cantans - COX1 gene,RMNH.INS.1271326_Ae_annulipes_cantans - COX1 gene,RMNH.INS.1271327_Ae_annulipes_cantans - COX1 gene,RMNH.INS.1271328_Ae_annulipes_cantans - COX1 gene,RMNH.INS.1271329_Ae_annulipes_cantans - COX1 gene,RMNH.INS.1271330_Ae_annulipes_cantans - COX1 gene,RMNH.INS.1271331_Ae_rusticus - COX1 gene,RMNH.INS.1271332_Ae_rusticus - COX1 gene,RMNH.INS.1271333_Ae_rusticus - COX1 gene,RMNH.INS.1271334_Ae_communis - COX1 gene,RMNH.INS.1271335_Ae_communis - COX1 gene,RMNH.INS.1271336_Ae_communis - COX1 gene,RMNH.INS.1271337_Ae_punctor - COX1 gene,RMNH.INS.1271338_Ae_rusticus - COX1 gene,RMNH.INS.1271339_Ae_punctor - COX1 gene,RMNH.INS.1271340_Ae_geniculatus - COX1 gene,RMNH.INS.1271341_Ae_geniculatus - COX1 gene,RMNH.INS.1271342_Ae_geniculatus - COX1 gene,RMNH.INS.1271344_Cs_subochrea - COX1 gene,RMNH.INS.1271345_Cs_annulata - COX1 gene,RMNH.INS.1271346_Ae_caspius - COX1 gene,RMNH.INS.1271347_Ae_caspius - COX1 gene,RMNH.INS.1271348_Ae_caspius - COX1 gene,RMNH.INS.1271349_An_plumbeus_partial_genome - COX1 gene,RMNH.INS.1271350_An_plumbeus_partial_genome - COX1 gene,RMNH.INS.1271351_An_plumbeus_partial_genome - COX1 gene,RMNH.INS.1271352_Cs_annulata - COX1 gene,RMNH.INS.1271354_Cs_annulata - COX1 gene,RMNH.INS.1271355_Cx_pipiens - COX1 gene,RMNH.INS.1271356_Cx_pipiens - COX1 gene,RMNH.INS.1271357_Cx_pipiens - COX1 gene,RMNH.INS.1271358_Cs_morsitans - COX1 gene,RMNH.INS.1271359_Cs_morsitans - COX1 gene,RMNH.INS.1271360_Cs_morsitans - COX1 gene,RMNH.INS.1271361_Ae_sticticus - COX1 gene,RMNH.INS.1271362_Ae_sticticus - COX1 gene,RMNH.INS.1271363_Ae_sticticus - COX1 gene,RMNH.INS.1271367_Ae_detritus - COX1 gene,RMNH.INS.1271368_Ae_detritus - COX1 gene,RMNH.INS.1271369_Ae_caspius - COX1 gene,RMNH.INS.1271370_Ae_flavescens - COX1 gene,RMNH.INS.1271371_Ae_flavescens - COX1 gene,RMNH.INS.1271372_Ae_flavescens - COX1 gene,RMNH.INS.1271375_Ae_leucomelas - COX1 gene,RMNH.INS.1271376_Ae_albopictus - COX1 gene,RMNH.INS.1271377_Ae_albopictus - COX1 gene,RMNH.INS.1271378_Ae_albopictus - COX1 gene,RMNH.INS.1271379_Ae_japonicus - COX1 gene,RMNH.INS.1271380_Ae_japonicus - COX1 gene,RMNH.INS.1271381_Ae_japonicus - COX1 gene,RMNH.INS.1271382_Ae_aegypti - COX1 gene,RMNH.INS.1271383_Ae_aegypti - COX1 gene,RMNH.INS.1271384_Ae_aegypti - COX1 gene,RMNH.INS.1271386_Ae_cinereus - COX1 gene,RMNH.INS.1271389_Cs_ochroptera - COX1 gene
RMNH.INS.1271324_Cs_longiareolata - COX1 gene,85.927,85.992,86.187,86.381,86.187,86.187,87.289,87.354,87.224,88.716,88.716,88.716,85.084,85.084,85.084,89.3,89.04,88.716,86.706,86.641,86.511,86.77,86.77,86.77,100,100,,86.381,86.446,86.446,86.381,86.511,86.381,87.808,87.743,87.743,86.641,86.706,86.706,86.057,87.678,86.057,87.03,87.03,87.03,88.216,88.716,86.835,87.289,87.03,86.316,86.316,86.316,88.716,88.716,88.846,88.911,88.846,87.613,87.484,87.484,87.16,87.16,87.03,87.289,87.289,87.419,86.576,86.576,86.641,86.77,86.77,86.77,86.641,86.187,86.187,86.381,86.77,86.965,87.095,86.576,88.262
RMNH.INS.1271325_Ae_annulipes_cantans - COX1 gene,85.798,85.992,86.057,84.825,84.695,84.695,90.208,90.272,90.143,86.511,86.511,86.511,85.603,85.668,85.603,86.965,86.965,86.965,86.641,86.576,86.381,88.262,88.262,88.327,86.381,86.381,86.381,,99.481,98.444,99.87,98.573,98.444,91.44,91.505,91.505,91.31,91.505,91.505,90.856,91.44,90.856,89.948,89.948,89.948,87.37,86.511,92.218,92.218,92.088,85.538,85.538,85.538,86.511,86.511,88.262,88.327,88.262,86.576,86.511,86.511,90.337,90.337,90.272,91.051,91.245,92.153,95.59,95.59,95.655,92.283,87.678,87.678,87.549,89.559,89.559,89.624,88.846,88.911,88.781,88.132,87.484
RMNH.INS.1271326_Ae_annulipes_cantans - COX1 gene,85.992,86.187,86.252,84.89,84.76,84.76,90.208,90.272,90.143,86.9,86.9,86.9,85.733,85.798,85.733,86.965,86.965,86.965,86.835,86.77,86.576,88.457,88.457,88.392,86.446,86.446,86.446,99.481,,98.833,99.481,98.833,98.833,91.505,91.569,91.569,91.505,91.699,91.699,91.115,91.505,91.115,90.013,90.013,90.013,87.565,86.9,92.088,92.153,92.088,85.603,85.603,85.603,86.9,86.9,88.327,88.392,88.327,86.446,86.381,86.381,90.532,90.532,90.467,91.31,91.505,92.088,95.655,95.655,95.72,92.477,87.873,87.873,87.743,89.624,89.624,89.689,88.911,89.105,88.975,88.327,87.549
RMNH.INS.1271327_Ae_annulipes_cantans - COX1 gene,86.316,86.511,86.446,84.76,84.63,84.63,90.013,90.078,89.948,87.16,87.16,87.16,85.863,85.927,85.863,87.095,86.9,87.03,86.965,86.9,86.835,88.457,88.457,88.392,86.446,86.446,86.446,98.444,98.833,,98.444,98.962,98.833,91.44,91.505,91.44,91.699,91.894,91.894,91.44,91.44,91.44,90.143,90.143,90.143,87.435,87.16,91.958,92.153,91.958,85.927,85.927,85.927,87.16,87.16,88.327,88.392,88.327,86.641,86.576,86.576,90.337,90.337,90.272,91.44,91.505,92.088,95.785,95.785,95.85,92.672,87.808,87.808,87.678,89.689,89.689,89.754,89.17,89.3,88.911,88.457,87.678
RMNH.INS.1271328_Ae_annulipes_cantans - COX1 gene,85.798,85.992,86.057,84.825,84.695,84.695,90.208,90.272,90.143,86.511,86.511,86.511,85.733,85.798,85.733,86.835,86.835,86.835,86.641,86.576,86.381,88.262,88.262,88.327,86.381,86.381,86.381,99.87,99.481,98.444,,98.573,98.444,91.44,91.505,91.505,91.31,91.505,91.505,90.856,91.44,90.856,89.948,89.948,89.948,87.37,86.511,92.218,92.218,92.088,85.538,85.538,85.538,86.511,86.511,88.262,88.327,88.262,86.576,86.511,86.511,90.337,90.337,90.272,91.18,91.245,92.153,95.59,95.59,95.655,92.412,87.678,87.678,87.549,89.559,89.559,89.624,88.846,88.911,88.781,88.132,87.484
RMNH.INS.1271329_Ae_annulipes_cantans - COX1 gene,86.057,86.252,86.316,84.565,84.436,84.436,90.208,90.272,90.143,87.03,87.03,87.03,85.863,85.927,85.863,86.965,86.965,86.965,86.77,86.706,86.641,88.327,88.327,88.262,86.511,86.511,86.511,98.573,98.833,98.962,98.573,,99.611,91.245,91.31,91.31,91.569,91.634,91.634,91.115,91.245,91.115,90.078,90.078,90.078,87.305,87.03,91.829,92.023,91.829,85.668,85.668,85.668,87.03,87.03,88.262,88.327,88.262,87.03,86.835,86.835,90.208,90.208,90.143,91.051,91.245,91.958,95.72,95.72,95.785,92.348,87.743,87.743,87.613,89.754,89.754,89.948,88.846,89.17,89.04,88.327,87.354
RMNH.INS.1271330_Ae_annulipes_cantans - COX1 gene,85.927,86.122,86.187,84.565,84.436,84.436,90.078,90.143,90.013,86.965,86.965,86.965,85.733,85.798,85.733,86.835,86.835,86.835,86.77,86.706,86.641,88.197,88.197,88.003,86.381,86.381,86.381,98.444,98.833,98.833,98.444,99.611,,91.18,91.245,91.245,91.31,91.505,91.505,90.986,91.18,90.986,90.013,90.013,90.013,87.24,86.965,91.829,91.894,91.699,85.668,85.668,85.668,86.965,86.965,88.003,88.067,88.003,86.77,86.576,86.576,90.272,90.272,90.208,91.051,91.115,91.829,95.525,95.525,95.59,92.088,87.743,87.743,87.613,89.624,89.624,89.818,88.716,89.04,88.911,88.067,87.224
RMNH.INS.1271331_Ae_rusticus - COX1 gene,86.381,86.446,86.641,85.733,85.733,85.733,91.505,91.569,91.44,88.781,88.651,88.651,86.057,86.252,86.057,88.327,88.067,88.132,87.484,87.484,87.354,90.143,90.143,90.143,87.808,87.808,87.808,91.44,91.505,91.44,91.44,91.245,91.18,,99.805,99.805,90.986,91.115,91.115,90.272,99.87,90.272,90.986,90.986,90.986,88.867,88.651,91.505,91.764,91.569,86.252,86.252,86.252,88.651,88.651,89.689,89.754,89.689,87.938,87.938,87.938,91.245,91.245,91.245,91.115,91.31,91.829,91.375,91.375,91.375,91.375,88.327,88.327,88.262,90.272,90.272,90.208,89.3,89.429,89.17,89.883,88.975
RMNH.INS.1271332_Ae_rusticus - COX1 gene,86.316,86.381,86.576,85.538,85.538,85.538,91.569,91.634,91.505,88.651,88.521,88.521,85.927,86.122,85.927,88.197,87.938,88.003,87.419,87.419,87.289,90.078,90.078,90.078,87.743,87.743,87.743,91.505,91.569,91.505,91.505,91.31,91.245,99.805,,99.87,90.856,90.986,90.986,90.208,99.935,90.208,90.791,90.791,90.791,88.737,88.521,91.375,91.634,91.44,86.187,86.187,86.187,88.521,88.521,89.559,89.624,89.559,87.873,87.873,87.873,91.18,91.18,91.18,91.051,91.245,91.699,91.44,91.44,91.44,91.44,88.262,88.262,88.197,90.078,90.078,90.143,89.235,89.364,89.105,89.818,88.911
RMNH.INS.1271333_Ae_rusticus - COX1 gene,86.316,86.381,86.576,85.668,85.668,85.668,91.569,91.634,91.505,88.716,88.586,88.586,85.992,86.187,85.992,88.132,88.003,88.067,87.419,87.419,87.289,90.078,90.078,90.078,87.743,87.743,87.743,91.505,91.569,91.44,91.505,91.31,91.245,99.805,99.87,,90.856,90.986,90.986,90.208,99.935,90.208,90.921,90.921,90.921,88.802,88.586,91.44,91.699,91.505,86.187,86.187,86.187,88.586,88.586,89.624,89.689,89.624,87.743,87.743,87.743,91.18,91.18,91.18,90.921,91.115,91.764,91.44,91.44,91.44,91.31,88.262,88.262,88.197,90.208,90.208,90.143,89.235,89.364,89.105,89.818,88.846
RMNH.INS.1271334_Ae_communis - COX1 gene,86.511,86.576,86.77,85.473,85.473,85.473,89.818,89.883,89.754,87.224,87.16,87.16,86.576,86.706,86.576,87.808,87.549,87.613,87.938,87.873,87.678,87.613,87.613,87.613,86.641,86.641,86.641,91.31,91.505,91.699,91.31,91.569,91.31,90.986,90.856,90.856,,99.805,99.805,94.617,90.856,94.617,90.078,90.078,90.078,87.565,87.16,92.412,92.607,92.607,85.798,85.798,85.798,87.16,87.16,88.457,88.521,88.457,86.965,86.9,86.9,91.31,91.31,91.245,91.505,91.569,92.542,90.856,90.856,90.856,92.283,87.938,87.938,87.808,89.883,89.883,89.883,87.938,87.938,88.067,87.549,88.586
RMNH.INS.1271335_Ae_communis - COX1 gene,86.641,86.706,86.9,85.668,85.538,85.538,90.013,90.078,89.948,87.419,87.354,87.354,86.77,86.9,86.77,87.873,87.613,87.678,88.003,87.938,87.743,87.678,87.678,87.678,86.706,86.706,86.706,91.505,91.699,91.894,91.505,91.634,91.505,91.115,90.986,90.986,99.805,,100,94.812,90.986,94.812,90.272,90.272,90.272,87.76,87.354,92.607,92.802,92.802,85.992,85.992,85.992,87.354,87.354,88.392,88.457,88.392,87.16,87.095,87.095,91.505,91.505,91.44,91.699,91.764,92.737,91.051,91.051,91.051,92.348,88.132,88.132,88.003,89.818,89.818,89.818,88.132,88.132,88.262,87.613,88.651
RMNH.INS.1271336_Ae_communis - COX1 gene,86.641,86.706,86.9,85.668,85.538,85.538,90.013,90.078,89.948,87.419,87.354,87.354,86.77,86.9,86.77,87.873,87.613,87.678,88.003,87.938,87.743,87.678,87.678,87.678,86.706,86.706,86.706,91.505,91.699,91.894,91.505,91.634,91.505,91.115,90.986,90.986,99.805,100,,94.812,90.986,94.812,90.272,90.272,90.272,87.76,87.354,92.607,92.802,92.802,85.992,85.992,85.992,87.354,87.354,88.392,88.457,88.392,87.16,87.095,87.095,91.505,91.505,91.44,91.699,91.764,92.737,91.051,91.051,91.051,92.348,88.132,88.132,88.003,89.818,89.818,89.818,88.132,88.132,88.262,87.613,88.651
RMNH.INS.1271337_Ae_punctor - COX1 gene,85.733,85.927,85.538,84.695,84.565,84.565,88.846,88.911,88.781,86.641,86.576,86.576,85.149,85.214,85.279,86.77,86.446,86.576,87.095,87.03,86.835,87.419,87.419,87.484,86.057,86.057,86.057,90.856,91.115,91.44,90.856,91.115,90.986,90.272,90.208,90.208,94.617,94.812,94.812,,90.143,100,89.494,89.494,89.494,86.979,86.576,90.532,90.986,90.856,84.89,84.89,84.89,86.576,86.576,87.095,87.16,87.224,86.757,86.628,86.628,89.818,89.818,89.754,90.856,90.921,90.921,90.532,90.532,90.597,91.958,87.808,87.808,87.678,89.04,89.04,89.235,87.938,87.938,88.197,87.16,86.835
RMNH.INS.1271338_Ae_rusticus - COX1 gene,86.252,86.316,86.511,85.603,85.603,85.603,91.505,91.569,91.44,88.651,88.521,88.521,85.927,86.122,85.927,88.197,87.938,88.003,87.354,87.354,87.224,90.013,90.013,90.013,87.678,87.678,87.678,91.44,91.505,91.44,91.44,91.245,91.18,99.87,99.935,99.935,90.856,90.986,90.986,90.143,,90.143,90.856,90.856,90.856,88.737,88.521,91.375,91.634,91.44,86.122,86.122,86.122,88.521,88.521,89.559,89.624,89.559,87.808,87.808,87.808,91.115,91.115,91.115,90.986,91.18,91.699,91.375,91.375,91.375,91.375,88.197,88.197,88.132,90.143,90.143,90.078,89.17,89.3,89.04,89.754,88.846
RMNH.INS.1271339_Ae_punctor - COX1 gene,85.733,85.927,85.538,84.695,84.565,84.565,88.846,88.911,88.781,86.641,86.576,86.576,85.149,85.214,85.279,86.77,86.446,86.576,87.095,87.03,86.835,87.419,87.419,87.484,86.057,86.057,86.057,90.856,91.115,91.44,90.856,91.115,90.986,90.272,90.208,90.208,94.617,94.812,94.812,100,90.143,,89.494,89.494,89.494,86.979,86.576,90.532,90.986,90.856,84.89,84.89,84.89,86.576,86.576,87.095,87.16,87.224,86.757,86.628,86.628,89.818,89.818,89.754,90.856,90.921,90.921,90.532,90.532,90.597,91.958,87.808,87.808,87.678,89.04,89.04,89.235,87.938,87.938,88.197,87.16,86.835
RMNH.INS.1271340_Ae_geniculatus - COX1 gene,85.668,85.863,85.733,85.992,85.798,85.798,89.17,89.235,89.105,87.549,87.419,87.419,86.77,86.965,86.77,87.289,87.289,87.354,87.419,87.354,87.16,87.743,87.743,87.678,87.03,87.03,87.03,89.948,90.013,90.143,89.948,90.078,90.013,90.986,90.791,90.921,90.078,90.272,90.272,89.494,90.856,89.494,,100,100,87.695,87.419,90.402,90.467,90.467,85.668,85.668,85.668,87.419,87.419,87.938,88.003,87.938,86.511,86.511,86.511,89.17,89.17,89.235,89.624,89.689,90.532,90.143,90.143,90.143,90.208,87.873,87.873,87.808,88.781,88.781,88.716,87.289,87.16,87.678,87.419,87.484
RMNH.INS.1271341_Ae_geniculatus - COX1 gene,85.668,85.863,85.733,85.992,85.798,85.798,89.17,89.235,89.105,87.549,87.419,87.419,86.77,86.965,86.77,87.289,87.289,87.354,87.419,87.354,87.16,87.743,87.743,87.678,87.03,87.03,87.03,89.948,90.013,90.143,89.948,90.078,90.013,90.986,90.791,90.921,90.078,90.272,90.272,89.494,90.856,89.494,100,,100,87.695,87.419,90.402,90.467,90.467,85.668,85.668,85.668,87.419,87.419,87.938,88.003,87.938,86.511,86.511,86.511,89.17,89.17,89.235,89.624,89.689,90.532,90.143,90.143,90.143,90.208,87.873,87.873,87.808,88.781,88.781,88.716,87.289,87.16,87.678,87.419,87.484
RMNH.INS.1271342_Ae_geniculatus - COX1 gene,85.668,85.863,85.733,85.992,85.798,85.798,89.17,89.235,89.105,87.549,87.419,87.419,86.77,86.965,86.77,87.289,87.289,87.354,87.419,87.354,87.16,87.743,87.743,87.678,87.03,87.03,87.03,89.948,90.013,90.143,89.948,90.078,90.013,90.986,90.791,90.921,90.078,90.272,90.272,89.494,90.856,89.494,100,100,,87.695,87.419,90.402,90.467,90.467,85.668,85.668,85.668,87.419,87.419,87.938,88.003,87.938,86.511,86.511,86.511,89.17,89.17,89.235,89.624,89.689,90.532,90.143,90.143,90.143,90.208,87.873,87.873,87.808,88.781,88.781,88.716,87.289,87.16,87.678,87.419,87.484
RMNH.INS.1271344_Cs_subochrea - COX1 gene,86.719,86.914,86.719,85.742,85.547,85.547,88.021,88.086,87.956,96.029,96.029,95.964,85.742,85.807,85.742,88.216,88.086,88.021,87.826,87.76,87.565,86.654,86.654,86.589,88.216,88.216,88.216,87.37,87.565,87.435,87.37,87.305,87.24,88.867,88.737,88.802,87.565,87.76,87.76,86.979,88.737,86.979,87.695,87.695,87.695,,96.029,87.63,88.086,88.021,85.026,85.026,85.026,96.029,96.029,88.542,88.607,88.672,88.281,88.086,88.086,87.76,87.76,87.63,87.63,87.891,88.086,86.979,86.979,86.914,88.021,86.523,86.523,86.393,86.979,86.979,87.109,86.198,86.458,86.458,86.523,89.128
RMNH.INS.1271345_Cs_annulata - COX1 gene,86.9,87.095,86.965,85.733,85.538,85.538,87.743,87.808,87.678,99.87,100,99.935,85.344,85.344,85.344,88.067,87.873,87.678,88.197,88.132,88.197,86.576,86.576,86.576,88.716,88.716,88.716,86.511,86.9,87.16,86.511,87.03,86.965,88.651,88.521,88.586,87.16,87.354,87.354,86.576,88.521,86.576,87.419,87.419,87.419,96.029,,88.132,88.392,88.457,85.214,85.214,85.214,100,100,88.911,88.975,89.04,88.262,88.067,88.067,87.873,87.873,87.743,87.678,88.003,88.392,87.16,87.16,86.965,87.419,86.77,86.77,86.77,86.77,86.77,86.9,86.187,86.641,86.511,86.576,89.3
RMNH.INS.1271346_Ae_caspius - COX1 gene,87.354,87.549,87.419,85.344,85.214,85.214,90.661,90.726,90.661,88.197,88.132,88.132,86.316,86.381,86.316,88.067,88.003,87.938,87.419,87.354,87.16,88.716,88.716,88.651,86.835,86.835,86.835,92.218,92.088,91.958,92.218,91.829,91.829,91.505,91.375,91.44,92.412,92.607,92.607,90.532,91.375,90.532,90.402,90.402,90.402,87.63,88.132,,99.092,99.416,85.473,85.473,85.473,88.132,88.132,89.494,89.559,89.494,86.77,86.641,86.641,91.375,91.375,91.31,90.661,90.986,99.027,91.764,91.764,91.829,91.505,88.392,88.392,88.262,89.948,89.948,89.948,89.04,88.781,88.716,88.586,88.457
RMNH.INS.1271347_Ae_caspius - COX1 gene,87.484,87.678,87.678,85.603,85.473,85.473,90.856,90.921,90.856,88.457,88.392,88.392,86.576,86.641,86.576,88.457,88.392,88.327,87.613,87.549,87.354,88.975,88.975,89.04,87.289,87.289,87.289,92.218,92.153,92.153,92.218,92.023,91.894,91.764,91.634,91.699,92.607,92.802,92.802,90.986,91.634,90.986,90.467,90.467,90.467,88.086,88.392,99.092,,99.351,85.863,85.863,85.863,88.392,88.392,89.624,89.689,89.624,87.354,87.224,87.224,91.569,91.569,91.505,90.597,91.18,99.805,91.958,91.958,92.023,91.764,88.521,88.521,88.392,90.337,90.337,90.467,89.17,89.04,89.105,88.846,88.521
RMNH.INS.1271348_Ae_caspius - COX1 gene,87.613,87.808,87.808,85.668,85.538,85.538,90.726,90.791,90.726,88.521,88.457,88.457,86.511,86.576,86.511,88.197,88.132,88.067,87.419,87.354,87.16,88.651,88.651,88.716,87.03,87.03,87.03,92.088,92.088,91.958,92.088,91.829,91.699,91.569,91.44,91.505,92.607,92.802,92.802,90.856,91.44,90.856,90.467,90.467,90.467,88.021,88.457,99.416,99.351,,85.798,85.798,85.798,88.457,88.457,89.494,89.559,89.624,87.095,86.965,86.965,91.505,91.505,91.44,90.532,91.115,99.287,91.894,91.894,91.958,91.764,88.521,88.521,88.392,90.337,90.337,90.337,89.235,88.975,89.04,88.651,88.716
RMNH.INS.1271349_An_plumbeus_partial_genome - COX1 gene,87.743,87.938,87.873,85.214,85.149,85.149,86.511,86.576,86.511,85.214,85.214,85.214,87.484,87.613,87.484,86.122,85.992,85.863,85.279,85.473,85.409,86.316,86.316,86.252,86.316,86.316,86.316,85.538,85.603,85.927,85.538,85.668,85.668,86.252,86.187,86.187,85.798,85.992,85.992,84.89,86.122,84.89,85.668,85.668,85.668,85.026,85.214,85.473,85.863,85.798,,100,100,85.214,85.214,85.798,85.798,85.733,85.084,85.019,85.019,86.511,86.511,86.381,85.149,84.825,86.057,85.538,85.538,85.603,85.927,86.187,86.187,86.122,85.668,85.668,85.798,85.927,86.252,86.057,86.316,86.122
RMNH.INS.1271350_An_plumbeus_partial_genome - COX1 gene,87.743,87.938,87.873,85.214,85.149,85.149,86.511,86.576,86.511,85.214,85.214,85.214,87.484,87.613,87.484,86.122,85.992,85.863,85.279,85.473,85.409,86.316,86.316,86.252,86.316,86.316,86.316,85.538,85.603,85.927,85.538,85.668,85.668,86.252,86.187,86.187,85.798,85.992,85.992,84.89,86.122,84.89,85.668,85.668,85.668,85.026,85.214,85.473,85.863,85.798,100,,100,85.214,85.214,85.798,85.798,85.733,85.084,85.019,85.019,86.511,86.511,86.381,85.149,84.825,86.057,85.538,85.538,85.603,85.927,86.187,86.187,86.122,85.668,85.668,85.798,85.927,86.252,86.057,86.316,86.122
RMNH.INS.1271351_An_plumbeus_partial_genome - COX1 gene,87.743,87.938,87.873,85.214,85.149,85.149,86.511,86.576,86.511,85.214,85.214,85.214,87.484,87.613,87.484,86.122,85.992,85.863,85.279,85.473,85.409,86.316,86.316,86.252,86.316,86.316,86.316,85.538,85.603,85.927,85.538,85.668,85.668,86.252,86.187,86.187,85.798,85.992,85.992,84.89,86.122,84.89,85.668,85.668,85.668,85.026,85.214,85.473,85.863,85.798,100,100,,85.214,85.214,85.798,85.798,85.733,85.084,85.019,85.019,86.511,86.511,86.381,85.149,84.825,86.057,85.538,85.538,85.603,85.927,86.187,86.187,86.122,85.668,85.668,85.798,85.927,86.252,86.057,86.316,86.122
RMNH.INS.1271352_Cs_annulata - COX1 gene,86.9,87.095,86.965,85.733,85.538,85.538,87.743,87.808,87.678,99.87,100,99.935,85.344,85.344,85.344,88.067,87.873,87.678,88.197,88.132,88.197,86.576,86.576,86.576,88.716,88.716,88.716,86.511,86.9,87.16,86.511,87.03,86.965,88.651,88.521,88.586,87.16,87.354,87.354,86.576,88.521,86.576,87.419,87.419,87.419,96.029,100,88.132,88.392,88.457,85.214,85.214,85.214,,100,88.911,88.975,89.04,88.262,88.067,88.067,87.873,87.873,87.743,87.678,88.003,88.392,87.16,87.16,86.965,87.419,86.77,86.77,86.77,86.77,86.77,86.9,86.187,86.641,86.511,86.576,89.3
RMNH.INS.1271354_Cs_annulata - COX1 gene,86.9,87.095,86.965,85.733,85.538,85.538,87.743,87.808,87.678,99.87,100,99.935,85.344,85.344,85.344,88.067,87.873,87.678,88.197,88.132,88.197,86.576,86.576,86.576,88.716,88.716,88.716,86.511,86.9,87.16,86.511,87.03,86.965,88.651,88.521,88.586,87.16,87.354,87.354,86.576,88.521,86.576,87.419,87.419,87.419,96.029,100,88.132,88.392,88.457,85.214,85.214,85.214,100,,88.911,88.975,89.04,88.262,88.067,88.067,87.873,87.873,87.743,87.678,88.003,88.392,87.16,87.16,86.965,87.419,86.77,86.77,86.77,86.77,86.77,86.9,86.187,86.641,86.511,86.576,89.3
RMNH.INS.1271355_Cx_pipiens - COX1 gene,86.835,87.03,86.835,86.77,86.576,86.576,89.494,89.494,89.429,88.911,88.911,88.911,88.067,88.132,88.132,94.034,93.839,93.58,88.781,88.716,88.521,88.197,88.197,88.132,88.846,88.846,88.846,88.262,88.327,88.327,88.262,88.262,88.003,89.689,89.559,89.624,88.457,88.392,88.392,87.095,89.559,87.095,87.938,87.938,87.938,88.542,88.911,89.494,89.624,89.494,85.798,85.798,85.798,88.911,88.911,,99.935,99.805,87.743,87.743,87.743,88.846,88.846,88.716,88.392,88.911,89.559,88.003,88.003,88.067,88.846,87.549,87.549,87.419,87.808,87.808,87.743,88.262,88.067,87.808,88.197,89.559
RMNH.INS.1271356_Cx_pipiens - COX1 gene,86.9,87.095,86.9,86.835,86.641,86.641,89.559,89.559,89.494,88.975,88.975,88.975,88.132,88.197,88.197,94.099,93.904,93.645,88.846,88.781,88.586,88.197,88.197,88.132,88.911,88.911,88.911,88.327,88.392,88.392,88.327,88.327,88.067,89.754,89.624,89.689,88.521,88.457,88.457,87.16,89.624,87.16,88.003,88.003,88.003,88.607,88.975,89.559,89.689,89.559,85.798,85.798,85.798,88.975,88.975,99.935,,99.87,87.808,87.808,87.808,88.911,88.911,88.781,88.392,88.911,89.624,88.067,88.067,88.132,88.911,87.613,87.613,87.484,87.873,87.873,87.808,88.327,88.132,87.873,88.197,89.624
RMNH.INS.1271357_Cx_pipiens - COX1 gene,86.835,87.03,86.835,86.9,86.706,86.706,89.494,89.494,89.429,89.04,89.04,89.04,88.003,88.067,88.067,93.969,93.774,93.515,88.781,88.716,88.521,88.132,88.132,88.067,88.846,88.846,88.846,88.262,88.327,88.327,88.262,88.262,88.003,89.689,89.559,89.624,88.457,88.392,88.392,87.224,89.559,87.224,87.938,87.938,87.938,88.672,89.04,89.494,89.624,89.624,85.733,85.733,85.733,89.04,89.04,99.805,99.87,,87.873,87.873,87.873,88.975,88.975,88.846,88.327,88.846,89.559,88.132,88.132,88.197,88.975,87.549,87.549,87.419,87.938,87.938,87.873,88.392,88.197,87.938,88.132,89.559
RMNH.INS.1271358_Cs_morsitans - COX1 gene,85.279,85.473,85.733,84.89,84.825,84.825,87.224,87.289,87.224,88.262,88.262,88.262,85.603,85.798,85.603,87.938,87.743,87.808,87.484,87.354,87.354,86.446,86.446,86.576,87.613,87.613,87.613,86.576,86.446,86.641,86.576,87.03,86.77,87.938,87.873,87.743,86.965,87.16,87.16,86.757,87.808,86.757,86.511,86.511,86.511,88.281,88.262,86.77,87.354,87.095,85.084,85.084,85.084,88.262,88.262,87.743,87.808,87.873,,99.806,99.806,87.938,87.938,87.743,87.03,87.289,87.419,87.224,87.224,87.16,87.289,85.538,85.538,85.473,86.77,86.77,86.965,87.03,87.03,87.613,86.446,90.597
