,RMNH.INS.1271298_An_messeae - ND3 gene,RMNH.INS.1271299_An_messeae - ND3 gene,RMNH.INS.1271300_An_messeae - ND3 gene,RMNH.INS.1271301_Cq_richiardii - ND3 gene,RMNH.INS.1271302_Cq_richiardii - ND3 gene,RMNH.INS.1271303_Cq_richiardii - ND3 gene,RMNH.INS.1271304_Ae_vexans - ND3 gene,RMNH.INS.1271305_Ae_vexans - ND3 gene,RMNH.INS.1271306_Ae_vexans - ND3 gene,RMNH.INS.1271307_Cs_annulata - ND3 gene,RMNH.INS.1271308_Cs_annulata - ND3 gene,RMNH.INS.1271309_Cs_annulata - ND3 gene,RMNH.INS.1271310_An_claviger - ND3 gene,RMNH.INS.1271311_An_claviger - ND3 gene,RMNH.INS.1271312_An_claviger - ND3 gene,RMNH.INS.1271313_Cx_modestus - ND3 gene,RMNH.INS.1271314_Cx_modestus - ND3 gene,RMNH.INS.1271315_Cx_modestus - ND3 gene,RMNH.INS.1271316_Cx_territans - ND3 gene,RMNH.INS.1271317_Cx_territans - ND3 gene,RMNH.INS.1271318_Cx_territans - ND3 gene,RMNH.INS.1271319_Ae_cinereus - ND3 gene,RMNH.INS.1271320_Ae_cinereus - ND3 gene,RMNH.INS.1271321_Ae_cinereus - ND3 gene,RMNH.INS.1271322_Cs_longiareolata - ND3 gene,RMNH.INS.1271323_Cs_longiareolata - ND3 gene,RMNH.INS.1271324_Cs_longiareolata - ND3 gene,RMNH.INS.1271325_Ae_annulipes_cantans - ND3 gene,RMNH.INS.1271326_Ae_annulipes_cantans - ND3 gene,RMNH.INS.1271327_Ae_annulipes_cantans - ND3 gene,RMNH.INS.1271328_Ae_annulipes_cantans - ND3 gene,RMNH.INS.1271329_Ae_annulipes_cantans - ND3 gene,RMNH.INS.1271330_Ae_annulipes_cantans - ND3 gene,RMNH.INS.1271331_Ae_rusticus - ND3 gene,RMNH.INS.1271332_Ae_rusticus - ND3 gene,RMNH.INS.1271333_Ae_rusticus - ND3 gene,RMNH.INS.1271334_Ae_communis - ND3 gene,RMNH.INS.1271335_Ae_communis - ND3 gene,RMNH.INS.1271336_Ae_communis - ND3 gene,RMNH.INS.1271337_Ae_punctor - ND3 gene,RMNH.INS.1271338_Ae_rusticus - ND3 gene,RMNH.INS.1271339_Ae_punctor - ND3 gene,RMNH.INS.1271340_Ae_geniculatus - ND3 gene,RMNH.INS.1271341_Ae_geniculatus - ND3 gene,RMNH.INS.1271342_Ae_geniculatus - ND3 gene,RMNH.INS.1271344_Cs_subochrea - ND3 gene,RMNH.INS.1271345_Cs_annulata - ND3 gene,RMNH.INS.1271346_Ae_caspius - ND3 gene,RMNH.INS.1271347_Ae_caspius - ND3 gene,RMNH.INS.1271348_Ae_caspius - ND3 gene,RMNH.INS.1271349_An_plumbeus_partial_genome - ND3 gene,RMNH.INS.1271350_An_plumbeus_partial_genome - ND3 gene,RMNH.INS.1271351_An_plumbeus_partial_genome - ND3 gene,RMNH.INS.1271352_Cs_annulata - ND3 gene,RMNH.INS.1271354_Cs_annulata - ND3 gene,RMNH.INS.1271355_Cx_pipiens - ND3 gene,RMNH.INS.1271356_Cx_pipiens - ND3 gene,RMNH.INS.1271357_Cx_pipiens - ND3 gene,RMNH.INS.1271358_Cs_morsitans - ND3 gene,RMNH.INS.1271359_Cs_morsitans - ND3 gene,RMNH.INS.1271360_Cs_morsitans - ND3 gene,RMNH.INS.1271361_Ae_sticticus - ND3 gene,RMNH.INS.1271362_Ae_sticticus - ND3 gene,RMNH.INS.1271363_Ae_sticticus - ND3 gene,RMNH.INS.1271367_Ae_detritus - ND3 gene,RMNH.INS.1271368_Ae_detritus - ND3 gene,RMNH.INS.1271369_Ae_caspius - ND3 gene,RMNH.INS.1271370_Ae_flavescens - ND3 gene,RMNH.INS.1271371_Ae_flavescens - ND3 gene,RMNH.INS.1271372_Ae_flavescens - ND3 gene,RMNH.INS.1271375_Ae_leucomelas - ND3 gene,RMNH.INS.1271376_Ae_albopictus - ND3 gene,RMNH.INS.1271377_Ae_albopictus - ND3 gene,RMNH.INS.1271378_Ae_albopictus - ND3 gene,RMNH.INS.1271379_Ae_japonicus - ND3 gene,RMNH.INS.1271380_Ae_japonicus - ND3 gene,RMNH.INS.1271381_Ae_japonicus - ND3 gene,RMNH.INS.1271382_Ae_aegypti - ND3 gene,RMNH.INS.1271383_Ae_aegypti - ND3 gene,RMNH.INS.1271384_Ae_aegypti - ND3 gene,RMNH.INS.1271386_Ae_cinereus - ND3 gene,RMNH.INS.1271389_Cs_ochroptera - ND3 gene
RMNH.INS.1271324_Cs_longiareolata - ND3 gene,83.616,83.616,84.181,86.723,86.723,86.723,88.983,88.983,88.983,89.076,89.076,88.796,85.028,85.593,85.311,88.796,88.515,88.235,87.853,87.853,87.853,89.356,89.636,89.636,100,100,,89.548,89.266,89.266,89.548,89.548,89.548,90.395,90.678,90.113,88.136,88.136,88.136,87.288,90.395,87.288,89.831,89.831,89.831,88.235,89.076,90.395,90.395,90.113,83.616,83.616,83.616,89.076,89.076,89.076,89.076,89.076,88.235,88.235,88.235,88.701,88.701,88.701,88.983,89.266,90.395,89.266,89.266,89.266,87.288,90.598,90.598,90.598,86.441,86.441,87.006,90.313,90.113,90.678,89.636,87.675
RMNH.INS.1271325_Ae_annulipes_cantans - ND3 gene,84.463,84.463,84.463,84.463,84.746,84.746,94.35,94.35,94.35,90.678,90.678,90.395,83.616,84.181,83.898,88.983,88.701,88.418,88.701,88.701,88.701,93.22,93.503,93.503,89.548,89.548,89.548,,99.718,98.87,100,98.588,98.588,94.35,94.633,94.068,91.243,91.808,91.808,91.525,94.35,91.525,94.633,94.633,94.633,90.395,90.678,95.763,95.763,95.763,83.333,83.333,83.333,90.678,90.678,89.548,89.548,89.548,87.853,87.853,87.853,90.96,90.96,90.96,94.915,95.198,95.763,97.458,97.458,97.458,93.785,91.453,91.453,91.453,88.983,88.983,89.548,90.598,91.243,90.96,93.503,87.853
RMNH.INS.1271326_Ae_annulipes_cantans - ND3 gene,84.181,84.181,84.181,84.181,84.463,84.463,94.068,94.068,94.068,90.395,90.395,90.113,83.333,83.898,83.616,88.701,88.418,88.136,88.418,88.418,88.418,92.938,93.22,93.22,89.266,89.266,89.266,99.718,,98.588,99.718,98.305,98.305,94.068,94.35,93.785,90.96,91.525,91.525,91.243,94.068,91.243,94.35,94.35,94.35,90.113,90.395,95.48,95.48,95.48,83.051,83.051,83.051,90.395,90.395,89.266,89.266,89.266,87.571,87.571,87.571,90.678,90.678,90.678,94.633,94.915,95.48,97.175,97.175,97.175,93.503,91.168,91.168,91.168,88.701,88.701,89.266,90.313,90.96,90.678,93.22,87.571
RMNH.INS.1271327_Ae_annulipes_cantans - ND3 gene,84.181,83.616,83.616,85.028,85.311,85.311,94.068,94.068,94.068,90.96,90.96,90.678,84.181,84.746,84.463,88.701,87.853,87.571,88.136,88.136,88.136,94.068,93.785,93.785,89.266,89.266,89.266,98.87,98.588,,98.87,99.153,99.153,94.633,94.915,94.35,91.808,92.373,92.373,91.808,94.633,91.808,94.068,94.068,94.068,90.395,90.96,95.763,95.763,95.763,83.333,83.333,83.333,90.96,90.96,88.983,88.983,88.983,87.571,87.571,87.571,91.808,91.808,91.808,95.48,95.763,95.763,98.023,98.023,98.023,93.785,91.168,91.168,91.168,89.548,89.548,90.113,90.883,91.525,91.243,93.785,88.136
RMNH.INS.1271328_Ae_annulipes_cantans - ND3 gene,84.463,84.463,84.463,84.463,84.746,84.746,94.35,94.35,94.35,90.678,90.678,90.395,83.616,84.181,83.898,88.983,88.701,88.418,88.701,88.701,88.701,93.22,93.503,93.503,89.548,89.548,89.548,100,99.718,98.87,,98.588,98.588,94.35,94.633,94.068,91.243,91.808,91.808,91.525,94.35,91.525,94.633,94.633,94.633,90.395,90.678,95.763,95.763,95.763,83.333,83.333,83.333,90.678,90.678,89.548,89.548,89.548,87.853,87.853,87.853,90.96,90.96,90.96,94.915,95.198,95.763,97.458,97.458,97.458,93.785,91.453,91.453,91.453,88.983,88.983,89.548,90.598,91.243,90.96,93.503,87.853
RMNH.INS.1271329_Ae_annulipes_cantans - ND3 gene,84.463,83.898,83.898,84.746,85.028,85.028,93.785,93.785,93.785,90.678,90.678,90.395,83.333,83.898,83.616,88.418,87.571,87.288,87.853,87.853,87.853,93.22,93.503,93.503,89.548,89.548,89.548,98.588,98.305,99.153,98.588,,100,94.35,94.633,94.068,92.09,92.655,92.655,90.96,94.35,90.96,94.35,94.35,94.35,90.113,90.678,95.48,95.48,95.48,83.051,83.051,83.051,90.678,90.678,88.701,88.701,88.701,88.418,88.418,88.418,90.96,90.96,90.96,95.198,95.48,95.48,98.305,98.305,98.305,93.503,91.453,91.453,91.453,89.266,89.266,89.831,91.168,91.808,91.525,93.503,87.853
RMNH.INS.1271330_Ae_annulipes_cantans - ND3 gene,84.463,83.898,83.898,84.746,85.028,85.028,93.785,93.785,93.785,90.678,90.678,90.395,83.333,83.898,83.616,88.418,87.571,87.288,87.853,87.853,87.853,93.22,93.503,93.503,89.548,89.548,89.548,98.588,98.305,99.153,98.588,100,,94.35,94.633,94.068,92.09,92.655,92.655,90.96,94.35,90.96,94.35,94.35,94.35,90.113,90.678,95.48,95.48,95.48,83.051,83.051,83.051,90.678,90.678,88.701,88.701,88.701,88.418,88.418,88.418,90.96,90.96,90.96,95.198,95.48,95.48,98.305,98.305,98.305,93.503,91.453,91.453,91.453,89.266,89.266,89.831,91.168,91.808,91.525,93.503,87.853
RMNH.INS.1271331_Ae_rusticus - ND3 gene,83.616,83.051,83.616,86.158,86.441,86.441,93.785,93.785,93.785,90.678,90.678,90.395,84.463,85.028,84.746,90.113,90.113,89.831,89.548,89.548,89.548,92.655,92.938,92.938,90.395,90.395,90.395,94.35,94.068,94.633,94.35,94.35,94.35,,99.718,99.718,91.243,91.808,91.808,90.96,100,90.96,93.503,93.503,93.503,90.113,90.678,96.045,95.48,95.763,82.203,82.203,82.203,90.678,90.678,90.113,90.113,90.113,88.136,88.136,88.136,91.808,91.808,91.808,93.22,92.938,95.48,93.503,93.503,93.503,91.525,90.883,90.883,90.883,89.266,89.266,89.266,90.883,91.243,91.243,92.938,88.136
RMNH.INS.1271332_Ae_rusticus - ND3 gene,83.898,83.333,83.898,86.441,86.723,86.723,94.068,94.068,94.068,90.96,90.96,90.678,84.746,85.311,85.028,90.395,89.831,89.548,89.831,89.831,89.831,92.938,93.22,93.22,90.678,90.678,90.678,94.633,94.35,94.915,94.633,94.633,94.633,99.718,,99.435,91.525,92.09,92.09,91.243,99.718,91.243,93.785,93.785,93.785,90.395,90.96,95.763,95.763,95.48,82.486,82.486,82.486,90.96,90.96,90.395,90.395,90.395,88.418,88.418,88.418,92.09,92.09,92.09,93.503,93.22,95.763,93.785,93.785,93.785,91.808,91.168,91.168,91.168,88.983,88.983,89.548,91.168,91.525,91.525,93.22,88.418
RMNH.INS.1271333_Ae_rusticus - ND3 gene,83.333,82.768,83.333,85.876,86.158,86.158,93.503,93.503,93.503,90.395,90.395,90.113,84.463,85.028,84.746,89.831,89.831,89.548,89.266,89.266,89.266,92.373,92.655,92.655,90.113,90.113,90.113,94.068,93.785,94.35,94.068,94.068,94.068,99.718,99.435,,90.96,91.525,91.525,90.678,99.718,90.678,93.22,93.22,93.22,89.831,90.395,95.763,95.198,95.48,81.921,81.921,81.921,90.395,90.395,89.831,89.831,89.831,87.853,87.853,87.853,91.808,91.808,91.808,92.938,92.655,95.198,93.22,93.22,93.22,91.243,90.883,90.883,90.883,88.983,88.983,88.983,90.598,90.96,90.96,92.655,87.853
RMNH.INS.1271334_Ae_communis - ND3 gene,82.768,82.203,82.768,84.463,84.746,84.746,91.525,91.525,91.525,87.853,87.853,87.571,81.356,81.921,81.638,86.723,86.441,85.876,86.441,86.441,86.441,90.395,90.113,90.113,88.136,88.136,88.136,91.243,90.96,91.808,91.243,92.09,92.09,91.243,91.525,90.96,,99.435,99.435,93.785,91.243,93.785,90.113,90.113,90.113,87.853,87.853,92.938,92.938,92.655,81.921,81.921,81.921,87.853,87.853,87.571,87.571,87.571,85.311,85.311,85.311,88.701,88.701,88.701,91.525,91.808,92.938,91.525,91.525,91.525,90.96,88.889,88.889,88.889,85.311,85.311,85.876,89.744,89.548,90.113,90.113,86.441
RMNH.INS.1271335_Ae_communis - ND3 gene,83.051,82.486,83.051,84.746,85.028,85.028,91.525,91.525,91.525,88.136,88.136,87.853,81.921,82.486,82.203,86.723,86.441,85.876,87.006,87.006,87.006,90.395,90.113,90.113,88.136,88.136,88.136,91.808,91.525,92.373,91.808,92.655,92.655,91.808,92.09,91.525,99.435,,100,94.35,91.808,94.35,90.678,90.678,90.678,88.136,88.136,93.503,93.503,93.22,82.486,82.486,82.486,88.136,88.136,88.136,88.136,88.136,85.593,85.593,85.593,88.983,88.983,88.983,92.09,92.373,93.503,92.09,92.09,92.09,90.96,88.889,88.889,88.889,85.593,85.593,86.158,90.028,89.831,90.395,90.113,87.006
RMNH.INS.1271336_Ae_communis - ND3 gene,83.051,82.486,83.051,84.746,85.028,85.028,91.525,91.525,91.525,88.136,88.136,87.853,81.921,82.486,82.203,86.723,86.441,85.876,87.006,87.006,87.006,90.395,90.113,90.113,88.136,88.136,88.136,91.808,91.525,92.373,91.808,92.655,92.655,91.808,92.09,91.525,99.435,100,,94.35,91.808,94.35,90.678,90.678,90.678,88.136,88.136,93.503,93.503,93.22,82.486,82.486,82.486,88.136,88.136,88.136,88.136,88.136,85.593,85.593,85.593,88.983,88.983,88.983,92.09,92.373,93.503,92.09,92.09,92.09,90.96,88.889,88.889,88.889,85.593,85.593,86.158,90.028,89.831,90.395,90.113,87.006
RMNH.INS.1271337_Ae_punctor - ND3 gene,80.791,81.073,81.073,82.486,82.768,82.768,90.96,90.96,90.96,87.571,87.571,87.288,83.333,83.333,83.616,86.441,86.441,86.158,87.006,87.006,87.006,89.548,89.266,89.266,87.288,87.288,87.288,91.525,91.243,91.808,91.525,90.96,90.96,90.96,91.243,90.678,93.785,94.35,94.35,,90.96,100,90.395,90.395,90.395,87.006,87.571,91.525,91.525,91.243,81.356,81.356,81.356,87.571,87.571,87.853,87.853,87.853,86.441,86.441,86.441,88.983,88.983,88.983,90.678,90.96,91.525,90.395,90.395,90.395,89.831,88.034,88.034,88.034,85.311,85.311,85.876,89.174,88.983,89.548,89.266,86.158
RMNH.INS.1271338_Ae_rusticus - ND3 gene,83.616,83.051,83.616,86.158,86.441,86.441,93.785,93.785,93.785,90.678,90.678,90.395,84.463,85.028,84.746,90.113,90.113,89.831,89.548,89.548,89.548,92.655,92.938,92.938,90.395,90.395,90.395,94.35,94.068,94.633,94.35,94.35,94.35,100,99.718,99.718,91.243,91.808,91.808,90.96,,90.96,93.503,93.503,93.503,90.113,90.678,96.045,95.48,95.763,82.203,82.203,82.203,90.678,90.678,90.113,90.113,90.113,88.136,88.136,88.136,91.808,91.808,91.808,93.22,92.938,95.48,93.503,93.503,93.503,91.525,90.883,90.883,90.883,89.266,89.266,89.266,90.883,91.243,91.243,92.938,88.136
RMNH.INS.1271339_Ae_punctor - ND3 gene,80.791,81.073,81.073,82.486,82.768,82.768,90.96,90.96,90.96,87.571,87.571,87.288,83.333,83.333,83.616,86.441,86.441,86.158,87.006,87.006,87.006,89.548,89.266,89.266,87.288,87.288,87.288,91.525,91.243,91.808,91.525,90.96,90.96,90.96,91.243,90.678,93.785,94.35,94.35,100,90.96,,90.395,90.395,90.395,87.006,87.571,91.525,91.525,91.243,81.356,81.356,81.356,87.571,87.571,87.853,87.853,87.853,86.441,86.441,86.441,88.983,88.983,88.983,90.678,90.96,91.525,90.395,90.395,90.395,89.831,88.034,88.034,88.034,85.311,85.311,85.876,89.174,88.983,89.548,89.266,86.158
RMNH.INS.1271340_Ae_geniculatus - ND3 gene,83.051,82.768,83.333,84.463,84.463,84.463,93.22,93.22,93.22,88.983,88.983,88.701,85.593,86.158,85.876,87.853,87.288,87.288,89.266,89.266,89.266,91.525,91.808,91.808,89.831,89.831,89.831,94.633,94.35,94.068,94.633,94.35,94.35,93.503,93.785,93.22,90.113,90.678,90.678,90.395,93.503,90.395,,100,100,88.701,88.983,94.068,94.068,94.068,82.486,82.486,82.486,88.983,88.983,89.266,89.266,89.266,87.006,87.006,87.006,90.678,90.678,90.678,94.633,94.915,94.068,93.503,93.503,93.503,91.808,91.738,91.738,91.738,90.395,90.395,90.96,91.453,91.525,91.808,91.808,86.441
RMNH.INS.1271341_Ae_geniculatus - ND3 gene,83.051,82.768,83.333,84.463,84.463,84.463,93.22,93.22,93.22,88.983,88.983,88.701,85.593,86.158,85.876,87.853,87.288,87.288,89.266,89.266,89.266,91.525,91.808,91.808,89.831,89.831,89.831,94.633,94.35,94.068,94.633,94.35,94.35,93.503,93.785,93.22,90.113,90.678,90.678,90.395,93.503,90.395,100,,100,88.701,88.983,94.068,94.068,94.068,82.486,82.486,82.486,88.983,88.983,89.266,89.266,89.266,87.006,87.006,87.006,90.678,90.678,90.678,94.633,94.915,94.068,93.503,93.503,93.503,91.808,91.738,91.738,91.738,90.395,90.395,90.96,91.453,91.525,91.808,91.808,86.441
RMNH.INS.1271342_Ae_geniculatus - ND3 gene,83.051,82.768,83.333,84.463,84.463,84.463,93.22,93.22,93.22,88.983,88.983,88.701,85.593,86.158,85.876,87.853,87.288,87.288,89.266,89.266,89.266,91.525,91.808,91.808,89.831,89.831,89.831,94.633,94.35,94.068,94.633,94.35,94.35,93.503,93.785,93.22,90.113,90.678,90.678,90.395,93.503,90.395,100,100,,88.701,88.983,94.068,94.068,94.068,82.486,82.486,82.486,88.983,88.983,89.266,89.266,89.266,87.006,87.006,87.006,90.678,90.678,90.678,94.633,94.915,94.068,93.503,93.503,93.503,91.808,91.738,91.738,91.738,90.395,90.395,90.96,91.453,91.525,91.808,91.808,86.441
RMNH.INS.1271344_Cs_subochrea - ND3 gene,82.768,82.203,82.203,85.028,85.311,85.311,89.831,89.831,89.831,96.078,96.078,96.359,85.028,85.311,85.028,88.796,87.955,87.955,90.395,90.395,90.395,87.115,87.395,87.395,88.235,88.235,88.235,90.395,90.113,90.395,90.395,90.113,90.113,90.113,90.395,89.831,87.853,88.136,88.136,87.006,90.113,87.006,88.701,88.701,88.701,,96.078,90.113,90.113,90.113,83.898,83.898,83.898,96.078,96.078,89.076,89.076,89.076,89.916,89.916,89.916,87.288,87.288,87.288,90.113,90.395,90.113,89.831,89.831,89.831,86.723,88.604,88.604,88.604,85.028,85.028,85.311,87.179,87.571,87.571,87.395,89.076
RMNH.INS.1271345_Cs_annulata - ND3 gene,83.898,83.333,83.333,85.311,85.593,85.593,90.678,90.678,90.678,100,100,98.039,86.723,87.288,87.006,88.796,87.955,88.235,90.678,90.678,90.678,88.796,89.076,89.076,89.076,89.076,89.076,90.678,90.395,90.96,90.678,90.678,90.678,90.678,90.96,90.395,87.853,88.136,88.136,87.571,90.678,87.571,88.983,88.983,88.983,96.078,,90.395,90.395,90.395,84.463,84.463,84.463,100,100,89.916,89.916,89.916,91.597,91.597,91.597,88.701,88.701,88.701,90.113,90.395,90.395,90.395,90.395,90.395,86.441,89.744,89.744,89.744,85.876,85.876,86.158,89.174,89.266,89.266,89.076,91.317
RMNH.INS.1271346_Ae_caspius - ND3 gene,85.311,84.746,85.311,86.441,86.723,86.723,95.198,95.198,95.198,90.395,90.395,90.113,84.746,85.311,85.028,89.831,90.113,89.548,90.395,90.395,90.395,93.22,93.503,93.503,90.395,90.395,90.395,95.763,95.48,95.763,95.763,95.48,95.48,96.045,95.763,95.763,92.938,93.503,93.503,91.525,96.045,91.525,94.068,94.068,94.068,90.113,90.395,,99.435,99.718,83.898,83.898,83.898,90.395,90.395,91.243,91.243,91.243,87.571,87.571,87.571,92.09,92.09,92.09,94.633,94.915,99.435,95.48,95.48,95.48,93.22,92.308,92.308,92.308,88.701,88.701,88.701,91.453,92.09,91.808,93.503,88.136
RMNH.INS.1271347_Ae_caspius - ND3 gene,85.311,84.746,85.311,86.723,87.006,87.006,95.198,95.198,95.198,90.395,90.395,90.113,84.746,85.311,85.028,90.395,90.113,89.548,90.96,90.96,90.96,93.22,93.503,93.503,90.395,90.395,90.395,95.763,95.48,95.763,95.763,95.48,95.48,95.48,95.763,95.198,92.938,93.503,93.503,91.525,95.48,91.525,94.068,94.068,94.068,90.113,90.395,99.435,,99.153,83.898,83.898,83.898,90.395,90.395,91.808,91.808,91.808,87.571,87.571,87.571,92.09,92.09,92.09,94.633,94.915,100,95.48,95.48,95.48,93.22,92.308,92.308,92.308,88.136,88.136,88.701,91.453,92.09,91.808,93.503,88.136
RMNH.INS.1271348_Ae_caspius - ND3 gene,85.028,84.463,85.028,86.158,86.441,86.441,94.915,94.915,94.915,90.395,90.395,90.113,84.746,85.311,85.028,89.548,89.831,89.266,90.395,90.395,90.395,92.938,93.22,93.22,90.113,90.113,90.113,95.763,95.48,95.763,95.763,95.48,95.48,95.763,95.48,95.48,92.655,93.22,93.22,91.243,95.763,91.243,94.068,94.068,94.068,90.113,90.395,99.718,99.153,,83.898,83.898,83.898,90.395,90.395,90.96,90.96,90.96,87.288,87.288,87.288,92.09,92.09,92.09,94.633,94.915,99.153,95.48,95.48,95.48,93.22,92.023,92.023,92.023,88.701,88.701,88.701,91.168,91.808,91.525,93.22,87.853
RMNH.INS.1271349_An_plumbeus_partial_genome - ND3 gene,86.158,86.158,86.723,81.073,81.356,81.356,81.921,81.921,81.921,84.463,84.463,83.616,88.701,88.701,88.418,84.181,83.898,83.051,83.616,83.616,83.616,83.616,83.333,83.333,83.616,83.616,83.616,83.333,83.051,83.333,83.333,83.051,83.051,82.203,82.486,81.921,81.921,82.486,82.486,81.356,82.203,81.356,82.486,82.486,82.486,83.898,84.463,83.898,83.898,83.898,,100,100,84.463,84.463,85.028,85.028,85.028,82.203,82.203,82.203,82.203,82.203,82.203,82.203,82.486,83.898,82.203,82.203,82.203,81.356,83.476,83.476,83.476,80.226,80.226,80.508,84.046,83.333,83.898,83.333,83.898
RMNH.INS.1271350_An_plumbeus_partial_genome - ND3 gene,86.158,86.158,86.723,81.073,81.356,81.356,81.921,81.921,81.921,84.463,84.463,83.616,88.701,88.701,88.418,84.181,83.898,83.051,83.616,83.616,83.616,83.616,83.333,83.333,83.616,83.616,83.616,83.333,83.051,83.333,83.333,83.051,83.051,82.203,82.486,81.921,81.921,82.486,82.486,81.356,82.203,81.356,82.486,82.486,82.486,83.898,84.463,83.898,83.898,83.898,100,,100,84.463,84.463,85.028,85.028,85.028,82.203,82.203,82.203,82.203,82.203,82.203,82.203,82.486,83.898,82.203,82.203,82.203,81.356,83.476,83.476,83.476,80.226,80.226,80.508,84.046,83.333,83.898,83.333,83.898
RMNH.INS.1271351_An_plumbeus_partial_genome - ND3 gene,86.158,86.158,86.723,81.073,81.356,81.356,81.921,81.921,81.921,84.463,84.463,83.616,88.701,88.701,88.418,84.181,83.898,83.051,83.616,83.616,83.616,83.616,83.333,83.333,83.616,83.616,83.616,83.333,83.051,83.333,83.333,83.051,83.051,82.203,82.486,81.921,81.921,82.486,82.486,81.356,82.203,81.356,82.486,82.486,82.486,83.898,84.463,83.898,83.898,83.898,100,100,,84.463,84.463,85.028,85.028,85.028,82.203,82.203,82.203,82.203,82.203,82.203,82.203,82.486,83.898,82.203,82.203,82.203,81.356,83.476,83.476,83.476,80.226,80.226,80.508,84.046,83.333,83.898,83.333,83.898
RMNH.INS.1271352_Cs_annulata - ND3 gene,83.898,83.333,83.333,85.311,85.593,85.593,90.678,90.678,90.678,100,100,98.039,86.723,87.288,87.006,88.796,87.955,88.235,90.678,90.678,90.678,88.796,89.076,89.076,89.076,89.076,89.076,90.678,90.395,90.96,90.678,90.678,90.678,90.678,90.96,90.395,87.853,88.136,88.136,87.571,90.678,87.571,88.983,88.983,88.983,96.078,100,90.395,90.395,90.395,84.463,84.463,84.463,,100,89.916,89.916,89.916,91.597,91.597,91.597,88.701,88.701,88.701,90.113,90.395,90.395,90.395,90.395,90.395,86.441,89.744,89.744,89.744,85.876,85.876,86.158,89.174,89.266,89.266,89.076,91.317
RMNH.INS.1271354_Cs_annulata - ND3 gene,83.898,83.333,83.333,85.311,85.593,85.593,90.678,90.678,90.678,100,100,98.039,86.723,87.288,87.006,88.796,87.955,88.235,90.678,90.678,90.678,88.796,89.076,89.076,89.076,89.076,89.076,90.678,90.395,90.96,90.678,90.678,90.678,90.678,90.96,90.395,87.853,88.136,88.136,87.571,90.678,87.571,88.983,88.983,88.983,96.078,100,90.395,90.395,90.395,84.463,84.463,84.463,100,,89.916,89.916,89.916,91.597,91.597,91.597,88.701,88.701,88.701,90.113,90.395,90.395,90.395,90.395,90.395,86.441,89.744,89.744,89.744,85.876,85.876,86.158,89.174,89.266,89.266,89.076,91.317
RMNH.INS.1271355_Cx_pipiens - ND3 gene,85.028,84.746,85.311,85.593,85.876,85.876,89.831,89.831,89.831,89.916,89.916,88.796,84.463,85.028,84.746,94.958,94.958,94.118,94.915,94.915,94.915,88.796,89.076,89.076,89.076,89.076,89.076,89.548,89.266,88.983,89.548,88.701,88.701,90.113,90.395,89.831,87.571,88.136,88.136,87.853,90.113,87.853,89.266,89.266,89.266,89.076,89.916,91.243,91.808,90.96,85.028,85.028,85.028,89.916,89.916,,100,100,88.796,88.796,88.796,86.158,86.158,86.158,88.136,88.418,91.808,88.701,88.701,88.701,87.571,89.174,89.174,89.174,85.311,85.311,85.311,88.034,88.418,88.418,89.076,89.076
RMNH.INS.1271356_Cx_pipiens - ND3 gene,85.028,84.746,85.311,85.593,85.876,85.876,89.831,89.831,89.831,89.916,89.916,88.796,84.463,85.028,84.746,94.958,94.958,94.118,94.915,94.915,94.915,88.796,89.076,89.076,89.076,89.076,89.076,89.548,89.266,88.983,89.548,88.701,88.701,90.113,90.395,89.831,87.571,88.136,88.136,87.853,90.113,87.853,89.266,89.266,89.266,89.076,89.916,91.243,91.808,90.96,85.028,85.028,85.028,89.916,89.916,100,,100,88.796,88.796,88.796,86.158,86.158,86.158,88.136,88.418,91.808,88.701,88.701,88.701,87.571,89.174,89.174,89.174,85.311,85.311,85.311,88.034,88.418,88.418,89.076,89.076
RMNH.INS.1271357_Cx_pipiens - ND3 gene,85.028,84.746,85.311,85.593,85.876,85.876,89.831,89.831,89.831,89.916,89.916,88.796,84.463,85.028,84.746,94.958,94.958,94.118,94.915,94.915,94.915,88.796,89.076,89.076,89.076,89.076,89.076,89.548,89.266,88.983,89.548,88.701,88.701,90.113,90.395,89.831,87.571,88.136,88.136,87.853,90.113,87.853,89.266,89.266,89.266,89.076,89.916,91.243,91.808,90.96,85.028,85.028,85.028,89.916,89.916,100,100,,88.796,88.796,88.796,86.158,86.158,86.158,88.136,88.418,91.808,88.701,88.701,88.701,87.571,89.174,89.174,89.174,85.311,85.311,85.311,88.034,88.418,88.418,89.076,89.076
RMNH.INS.1271358_Cs_morsitans - ND3 gene,82.203,82.203,82.203,84.746,85.028,85.028,88.418,88.418,88.418,91.597,91.597,90.756,84.181,84.746,84.463,89.636,89.356,89.076,89.266,89.266,89.266,87.115,87.395,87.395,88.235,88.235,88.235,87.853,87.571,87.571,87.853,88.418,88.418,88.136,88.418,87.853,85.311,85.593,85.593,86.441,88.136,86.441,87.006,87.006,87.006,89.916,91.597,87.571,87.571,87.288,82.203,82.203,82.203,91.597,91.597,88.796,88.796,88.796,,100,100,86.723,86.723,86.723,87.853,88.136,87.571,87.006,87.006,87.006,85.311,89.744,89.744,89.744,86.441,86.441,86.723,87.749,87.853,87.853,87.395,93.557
